Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Eigen InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Eigen Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Min Eigen Constructor Time,Min CSF2 Constructor Time,Min CSF3 Constructor Time,Min Eigen InnerIterator Time,Min CSF2 InnerIterator Time,Min CSF3 InnerIterator Time,Min Eigen Scalar Multiplication Time,Min CSF2 Scalar Multiplication Time,Min CSF3 Scalar Multiplication Time,Min Eigen Vector Multiplication Time,Min CSF2 Vector Multiplication Time,Min CSF3 Vector Multiplication Time,Min Eigen Memory Usage,Min CSF2 Memory Usage,Min CSF3 Memory Usage,Min Eigen Transpose Time,Min CSF2 Transpose Time,Min CSF3 Transpose Time,Min Eigen Matrix Multiplication Time,Min CSF2 Matrix Multiplication Time,Min CSF3 Matrix Multiplication Time,Q1 Eigen Constructor Time,Q1 CSF2 Constructor Time,Q1 CSF3 Constructor Time,Q1 Eigen InnerIterator Time,Q1 CSF2 InnerIterator Time,Q1 CSF3 InnerIterator Time,Q1 Eigen Scalar Multiplication Time,Q1 CSF2 Scalar Multiplication Time,Q1 CSF3 Scalar Multiplication Time,Q1 Eigen Vector Multiplication Time,Q1 CSF2 Vector Multiplication Time,Q1 CSF3 Vector Multiplication Time,Q1 Eigen Memory Usage,Q1 CSF2 Memory Usage,Q1 CSF3 Memory Usage,Q1 Eigen Transpose Time,Q1 CSF2 Transpose Time,Q1 CSF3 Transpose Time,Q1 Eigen Matrix Multiplication Time,Q1 CSF2 Matrix Multiplication Time,Q1 CSF3 Matrix Multiplication Time,Median Eigen Constructor Time,Median CSF2 Constructor Time,Median CSF3 Constructor Time,Median Eigen InnerIterator Time,Median CSF2 InnerIterator Time,Median CSF3 InnerIterator Time,Median Eigen Scalar Multiplication Time,Median CSF2 Scalar Multiplication Time,Median CSF3 Scalar Multiplication Time,Median Eigen Vector Multiplication Time,Median CSF2 Vector Multiplication Time,Median CSF3 Vector Multiplication Time,Median Eigen Memory Usage,Median CSF2 Memory Usage,Median CSF3 Memory Usage,Median Eigen Transpose Time,Median CSF2 Transpose Time,Median CSF3 Transpose Time,Median Eigen Matrix Multiplication Time,Median CSF2 Matrix Multiplication Time,Median CSF3 Matrix Multiplication Time,Q3 Eigen Constructor Time,Q3 CSF2 Constructor Time,Q3 CSF3 Constructor Time,Q3 Eigen InnerIterator Time,Q3 CSF2 InnerIterator Time,Q3 CSF3 InnerIterator Time,Q3 Eigen Scalar Multiplication,Q3 CSF2 Scalar Multiplication Time,Q3 CSF3 Scalar Multiplication Time,Q3 Eigen Vector Multiplication Time,Q3 CSF2 Vector Multiplication Time,Q3 CSF3 Vector Multiplication Time,Q3 Eigen Memory Usage,Q3 CSF2 Memory Usage,Q3 CSF3 Memory Usage,Q3 Eigen Transpose Time,Q3 CSF2 Transpose Time,Q3 CSF3 Transpose Time,Q3 Eigen Matrix Multiplication Time,Q3 CSF2 Matrix Multiplication Time,Q3 CSF3 Matrix Multiplication Time,Max Eigen Constructor Time,Max CSF2 Constructor Time,Max CSF3 Constructor Time,Max Eigen InnerIterator Time,Max CSF2 InnerIterator Time,Max CSF3 InnerIterator Time,Max Eigen Scalar Multiplication Time,Max CSF2 Scalar Multiplication Time,Max CSF3 Scalar Multiplication Time,Max Eigen Vector Multiplication Time,Max CSF2 Vector Multiplication Time,Max CSF3 Vector Multiplication Time,Max Eigen Memory Usage,Max CSF2 Memory Usage,Max CSF3 Memory Usage,Max Eigen Transpose Time,Max CSF2 Transpose Time,Max CSF3 Transpose Time,Max Eigen Matrix Multiplication Time,Max CSF2 Matrix Multiplication Time,Max CSF3 Matrix Multiplication Time
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1130990,387853,844838,20,160117,154282,23,185766,195124,50608,181311,171443,902012,311836,85003,169212,1733584,1880909,12221056,47714905,49058909,1029021,336638,783860,20,140488,138214,20,167047,179830,37048,171715,157750,902012,311836,85003,125751,1606783,1675690,11795157,47342702,48763062,1082830,341317,800380,20,142542,138555,20,168660,181103,40204,172848,159743,902012,311836,85003,132343,1656484,1830184,11973323,47521130,48919851,1128598,375269,835385,20,147986,139872,20,175482,184459,52031,174421,160249,902012,311836,85003,141454,1695420,1888139,12242027,47739275,49103387,1171403,441671,896307,21,181324,163130,30,214424,199727,60431,183738,164823,902012,311836,85003,184188,1815777,1970512,12472391,47815040,49204354,1236963,459415,920923,21,222889,215556,30,219724,244239,63798,205698,233739,902012,311836,85003,304901,1976282,2031734,12650178,48106616,49261938,
17.000000, 443.000000, 443.000000, 1033.000000, 0.995485, 0.005264,3204119,788792,1974352,20,386436,368059,20,477454,479884,168192,451935,424023,2356764,803626,212829,541241,4167703,4639945,50113598,201546919,205001029,2635574,751962,1936248,20,365051,350534,20,434950,458793,121293,444868,411185,2356764,803626,212829,413480,4004399,4133927,47769967,198517116,204318528,2867630,770166,1955453,20,378075,357668,20,446370,468040,122445,449265,413680,2356764,803626,212829,458663,4007435,4394245,48589062,198614085,204670935,3188199,792346,1972039,20,385738,366528,20,464799,470033,140673,451800,416255,2356764,803626,212829,532784,4097815,4672426,48990380,198983007,204829056,3402994,799620,1983776,20,388635,376662,20,510107,495671,176575,453904,431152,2356764,803626,212829,618897,4300964,4900636,49698532,199961381,205102698,4028363,834393,2039869,21,419481,396449,20,552535,517230,360803,460777,471106,2356764,803626,212829,732627,4557676,5076520,60548109,217714485,206316118,
18.000000, 1454.000000, 1454.000000, 3377.000000, 0.998624, 0.001597,48986563,7754523,21264248,20,3868212,3933017,24,5867827,5183823,1670715,4608156,4558728,25375212,8517556,2170518,13029891,55430104,57671876,1955230625,7138401886,6834017744,47511742,7317137,20760543,20,3759419,3798841,20,5245900,4887913,1504174,4372566,4320569,25375212,8517556,2170518,11507908,52432886,55164035,1939603213,7116474524,6808162768,47746093,7441395,21021261,20,3772283,3823597,20,5292566,5023442,1543486,4382013,4399866,25375212,8517556,2170518,11823297,53656515,55707714,1942893259,7125899394,6814167192,48552415,7479349,21248122,20,3782721,3841399,20,5516994,5076965,1584967,4459696,4417553,25375212,8517556,2170518,11965955,55048027,58314278,1952528359,7140050384,6819506840,49217247,7626976,21329457,20,3883797,3906920,20,6082628,5324425,1713489,4542288,4574016,25375212,8517556,2170518,12790585,55762315,58723106,1963017501,7147614601,6828169203,53713530,9233739,22010218,21,4389828,4463342,50,7250885,5994786,2036793,5883091,5598638,25375212,8517556,2170518,18018773,60168893,59933921,1994844299,7166220653,6966326356,
19.000000, 1612.000000, 1612.000000, 3718.000000, 0.998759, 0.001431,61815806,9484645,25820558,20,4981584,5117525,34,7208696,6339967,2100599,5944038,5446375,31188980,10461904,2661134,15439486,76843692,80315211,2725022839,9396811685,9750730582,59727922,9097559,25469836,20,4912608,4653462,20,6517688,6062321,1835093,5846865,5320578,31188980,10461904,2661134,13291085,72510783,75775172,2706455933,9384430834,9730922443,60220617,9122564,25525939,20,4963921,4660314,20,6684954,6120859,1987884,5858076,5343229,31188980,10461904,2661134,13738727,73819218,78538671,2717298628,9389898130,9743650694,60992346,9304183,25662164,20,4980883,4736434,20,6802711,6287083,2106160,5890355,5449123,31188980,10461904,2661134,14353607,76560125,79751299,2719067273,9394156847,9750800072,62354620,9603548,26198996,20,4997835,4956589,30,7117430,6333509,2176559,5931601,5538288,31188980,10461904,2661134,15562560,78618518,83161266,2741117461,9404148578,9760124728,68497228,10994585,26414642,20,5069887,8296627,140,9116513,7117100,2371418,6257870,5648901,31188980,10461904,2661134,21317626,84675529,85406111,2748365000,9416987312,9765189756,
20.000000, 1624.000000, 1624.000000, 3837.000000, 0.998768, 0.001455,63284661,9940491,26491530,22,4866572,4938633,70,7392518,6574973,1940558,6017176,5606991,31655012,10617736,2700527,15518024,77312803,82305949,2797938482,9581154656,9850615542,61540994,9211919,25868368,20,4778732,4717159,20,6491760,6185668,1740478,5884965,5361203,31655012,10617736,2700527,13693675,72299916,78169562,2782384728,9562861216,9836213156,62093209,9357026,25917819,20,4845905,4730323,20,6573260,6367311,1833930,5909029,5424509,31655012,10617736,2700527,13903781,74594483,79475853,2784211034,9571903613,9845980907,62731973,9655509,26446230,20,4855924,4734796,20,6728901,6464770,1940861,5989011,5442871,31655012,10617736,2700527,14327063,77721043,81881319,2794437602,9581784856,9851143179,63597253,10159129,26906216,20,4872515,5036014,30,7086803,6863142,2069603,6119526,5511057,31655012,10617736,2700527,15303173,79323744,84776464,2815120016,9587847543,9856940636,68642385,12157532,27307714,40,5039060,6141085,501,10583709,7070233,2150111,6191769,6759412,31655012,10617736,2700527,21040186,82075571,88248946,2817571310,9602088834,9860293581,
21.000000, 1723.000000, 1723.000000, 4117.000000, 0.998839, 0.001387,73326147,10657046,28980615,22,5627861,5324481,33,8011331,7296735,2302641,6740612,6109690,35631644,11947306,3036435,21516349,91479914,96942544,3334078064,11323974254,11766979172,71504274,10176932,28270593,10,5493175,5253444,20,7234115,6942207,2085743,6605089,5880937,35631644,11947306,3036435,19434997,87669832,93552552,3297873264,11225519915,11676870355,71894160,10276305,28590130,20,5532778,5281025,20,7271954,7057530,2208148,6677160,6088599,35631644,11947306,3036435,19753391,89929863,94582254,3308783324,11234227988,11683669449,72681152,10381152,28901137,20,5640706,5308520,20,7545370,7106054,2263044,6730914,6115218,35631644,11947306,3036435,19984161,91408352,96356920,3331736269,11253390869,11703179804,73647833,10678243,29437387,20,5651515,5376791,30,7694019,7393167,2287143,6810716,6162736,35631644,11947306,3036435,20436406,92671213,97212498,3362233840,11448856332,11885019633,78691703,12528283,29769688,40,5901515,5458570,120,10276255,8294583,2669325,6885624,6239086,35631644,11947306,3036435,28371128,96002544,105746361,3372622421,11465213582,11893776896,
22.000000, 5300.000000, 5300.000000, 13571.000000, 0.999623, 0.000483,1054458033,104288339,266327184,22,51624260,49081298,76,93599824,68135337,19187899,62059265,57269307,337101204,112582624,28299581,260192117,1344509193,1402013813,95731132041,329032179258,340921092796,1050111216,101750854,263488854,20,51315892,48719300,20,91064009,66693229,18802473,61542054,56766578,337101204,112582624,28299581,258501490,1327679690,1384855500,95605025939,328488871818,340575166552,1052414560,103089689,264260502,20,51495141,48955886,20,92015638,67039827,19067079,61679379,57044108,337101204,112582624,28299581,258902796,1337136154,1388933925,95687403650,328716903691,340659685394,1054320913,103601725,265633505,20,51553855,49046406,75,94172352,67649161,19201831,62056620,57159772,337101204,112582624,28299581,260073748,1341672277,1392878657,95728898660,329067468798,340900570321,1056349476,104659840,268364736,20,51620984,49256619,131,94887702,68043644,19329201,62285824,57463298,337101204,112582624,28299581,261044053,1348724342,1409435009,95779708159,329260545531,341018820801,1058463641,109227789,272919596,31,52336607,49482926,140,95958871,71670559,19607684,63046812,58081908,337101204,112582624,28299581,262575245,1370906865,1439126152,95910394746,329686768254,341387173315,
23.000000, 48.000000, 48.000000, 224.000000, 0.889323, 0.097222,23802,30400,56630,20,5819,5701,20,8090,8133,1199,6923,6625,27844,13323,5646,3648,83961,94573,85581,317509,331086,20007,27901,51264,20,5540,5490,20,7443,7834,1142,6722,6342,27844,13323,5646,2806,74577,90046,74848,301133,315259,22081,28773,54059,20,5711,5530,20,7925,7904,1143,6762,6392,27844,13323,5646,2866,81801,91258,75539,307405,319226,24415,30445,55908,20,5725,5620,20,8034,8019,1182,6837,6632,27844,13323,5646,3045,82927,92986,79776,310856,327527,25166,31798,58247,20,5780,5701,20,8135,8114,1203,6922,6812,27844,13323,5646,3276,83604,97049,97890,318305,331469,26609,33652,64709,20,6772,6602,20,9227,9367,1373,7665,6883,27844,13323,5646,8365,99803,108109,103320,368817,384216,
24.000000, 66.000000, 66.000000, 2211.000000, 0.516758, 0.507576,54721,227703,371122,20,13765,13879,21,17974,16896,2377,15710,16040,52540,45869,26486,8307,305285,348744,235040,953301,953383,51574,207121,330908,20,13385,13215,20,16831,16040,2024,14958,14887,52540,45869,26486,4889,289612,338642,202592,922916,925341,51915,215877,361324,20,13465,13665,20,17331,16481,2124,15369,15028,52540,45869,26486,4959,298468,341378,212731,924569,933766,55527,226076,372595,20,13660,13881,20,17903,16721,2274,15498,15338,52540,45869,26486,5065,301273,343977,224863,939125,950376,56263,234100,377904,20,14026,14126,20,18424,17121,2314,15769,16310,52540,45869,26486,6392,309058,352588,231886,964753,959684,57727,250590,409342,20,14296,14406,30,19687,18644,3827,17633,19566,52540,45869,26486,32781,338192,373507,356124,1069506,1023932,
25.000000, 112.000000, 112.000000, 376.000000, 0.961256, 0.029974,163556,100509,231325,21,35113,36246,21,39003,45011,9933,39205,40084,150980,58310,19220,24579,343782,376011,1037864,3788479,3688997,136390,81960,190580,20,24335,24956,20,30065,33231,6662,29253,29454,150980,58310,19220,15108,303498,336618,943103,3559221,3445923,148773,83874,199687,20,30496,25988,20,34153,34053,8485,34113,31808,150980,58310,19220,18323,322242,357397,959404,3701052,3550074,157148,97379,209364,20,34829,36397,20,41416,45959,9783,40228,38937,150980,58310,19220,24425,336112,367610,1023746,3767343,3582714,171956,101887,233409,20,39893,43540,20,42017,50643,10590,43159,47477,150980,58310,19220,26479,365272,401839,1055700,3872687,3753107,203404,153922,392842,30,44632,48118,30,43650,71601,15539,51315,50703,150980,58310,19220,38280,384416,434539,1269684,4153974,4276689,
