Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Eigen Transpose Time,CSF2 Transpose Time, CSF3 Transpose Time, Eigen Matrix Multiplication Time, CSF2 Matrix Multiplication Time, CSF3 Matrix Multiplication Time
3.000000, 662.000000, 662.000000, 1568.000000, 0.994923, 0.003578,8120002,1887538,4588572,20,841086,784492,30,1236222,1031976,357867,910092,944927,5261580,1792517,473255,2036422,9933103,11299956,154096284,692391042,650352457,
3.000000, 662.000000, 662.000000, 1568.000000, 0.994923, 0.003578,8721067,1836986,4601336,20,787397,792266,20,1091416,1039610,370320,923226,983587,5261580,1792517,473255,1685057,9740731,11046089,155599496,674530469,652317128,
3.000000, 662.000000, 662.000000, 1568.000000, 0.994923, 0.003578,8437655,1843107,4647641,20,787818,791394,20,1059627,1048587,398953,905915,949195,5261580,1792517,473255,2582526,9566831,10687931,154914337,675981857,651563222,
3.000000, 662.000000, 662.000000, 1568.000000, 0.994923, 0.003578,8351858,1787264,4932485,40,875879,804398,20,1135296,1019223,384086,1018452,1018111,5261580,1792517,473255,2175729,10515063,11389390,153991662,674840378,652014431,
3.000000, 662.000000, 662.000000, 1568.000000, 0.994923, 0.003578,8225305,1870948,4675051,20,786646,793829,40,1095643,1045581,371112,914481,1077400,5261580,1792517,473255,1926581,10874253,11135784,155430446,676893963,651205145,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9393032,2085272,5434187,20,850673,1385827,40,1557833,1158098,337830,1026467,988066,5633444,1922139,509097,2768818,11875083,12048643,210086407,772366292,740204709,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9427686,2187490,5217407,20,865370,956998,40,1183394,1166133,421244,993866,1014014,5633444,1922139,509097,3276531,12245784,12653133,174101888,766895790,738461706,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9452982,2375285,5555530,20,870229,870760,20,1238816,1113146,318716,1009705,1006449,5633444,1922139,509097,3155429,10933212,12394286,174910083,766829388,739977071,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9211729,2178483,5457179,20,955225,886279,20,1185970,1125157,560631,1021297,1042807,5633444,1922139,509097,2797772,12143797,12714976,174834295,780162090,737485482,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,8746894,2050809,5117464,20,860571,872975,40,1242694,1128234,477317,998094,983608,5633444,1922139,509097,2450042,11309734,12556335,174143505,766329900,736476828,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9556492,2048735,5249106,20,872984,861844,20,1261789,1168447,403672,992344,987745,5633444,1922139,509097,2442929,11263599,12450661,173924733,767621874,737811261,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9602728,2056139,5158951,20,875429,873174,30,1200666,1133563,438215,993987,981494,5633444,1922139,509097,2798253,10936508,12878436,173437226,769589961,737264617,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9465955,1994906,5293158,20,870049,883314,20,1214111,1120970,430551,991311,1000147,5633444,1922139,509097,2833938,10852283,12480876,172987571,765826114,738584913,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9673938,2083348,5148401,20,864409,874618,20,1227426,1210274,359040,988747,979610,5633444,1922139,509097,2369103,11544566,12199328,176541662,767643204,737347959,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9934326,2146574,5839642,20,857737,873235,40,1337679,1122462,501151,1182493,1046283,5633444,1922139,509097,2834840,12007526,13065430,176131959,767531389,739021715,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,134988,158621,333733,20,35475,33732,20,41466,46576,8655,42689,39563,203324,80702,27464,24815,517120,497585,1470272,5350433,5574695,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,156237,168139,334094,20,36868,35776,20,51805,61613,10770,42669,39613,203324,80702,27464,22260,531547,539842,1509564,5420511,5598708,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,141941,156578,328593,20,36537,34844,20,47828,49410,12292,43019,39884,203324,80702,27464,22321,495721,535614,1485119,5386319,5658478,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,143544,162468,331229,20,35926,34543,20,57536,46896,8586,42698,39433,203324,80702,27464,46786,496082,555601,1478908,18809307,5515967,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,140018,165393,333032,20,35876,34694,20,47798,50442,8526,43359,39423,203324,80702,27464,19797,494849,553107,1456697,5359069,5564827,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,134066,148884,308316,20,35936,34223,20,47647,46907,8706,42699,39773,203324,80702,27464,21059,487596,544240,1519052,5373015,5576417,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,162118,158482,360713,20,36387,34513,20,44041,49250,9427,42508,40184,203324,80702,27464,22201,505619,545963,1465332,5340945,5600642,
