Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSC Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSC InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSC Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSC Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSC Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSC Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSC Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSC Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSC Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSC Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
1,1138,1138,2596,0.002648,0.002005,23664,45495,236832,307851,98404,6001,6021,7650,14324,19424,6101,1110,6073,14463,1122,6890,8995,8676,15509,11766,35708,35732,77712,50623,35708,14439,1211167,232067,268920,15388,4983012,7856327,9678942,15865636,6614838,11617,10069,9072,18378,14765,687,6309,6077,14575,961,6211,6550,5991,14533,992
2,494,494,1080,0.007967,0.004426,12293,15543,94798,127974,41675,2384,2306,2999,6544,8155,2551,488,2480,6668,499,2863,3631,3598,7095,4662,14940,14964,32908,20852,14940,5716,249337,99826,115208,15793,856728,1373372,1585201,2640506,938372,4780,4436,3632,8654,6185,210,2428,2364,6736,439,2538,2665,3009,6508,410
3,662,662,1568,0.001538,0.003578,18594,25906,140609,191020,60318,3358,3280,3947,8720,11016,3418,711,3466,8790,721,3925,5037,4927,9484,6131,21468,21492,46236,29959,21468,7788,461619,143406,163544,22440,1658699,2607426,3022968,5174589,1918378,7059,5885,5073,11351,8740,425,3492,3242,8930,595,3410,3498,3464,8684,583
4,685,685,1967,0.004685,0.004192,21837,29715,175491,232922,72951,3919,3853,4594,10451,13696,3991,857,3975,10468,865,4472,5983,5598,11038,7197,26348,26372,53212,34989,26348,9117,640623,170363,193032,26413,1874167,2893052,3315194,6301473,2084788,7618,6626,5712,13048,9652,380,4129,3847,10556,663,3987,4328,3843,10387,693
5,313,176,1557,1,0.028264,8007,19927,49835,55071,51128,1098,1312,1334,4019,5819,1059,651,132,3995,677,1316,1789,1769,4723,7602,19392,19416,13996,6409,19392,3262,184433,69813,70826,4131,406787,516090,554416,1526006,273735,1835,2230,701,4739,2607,290,1150,256,4140,547,1108,1170,264,4161,549
6,130,130,1282,0.21569,0.075858,8664,17018,126755,185089,44289,911,919,1787,4702,4065,721,545,703,4793,450,1018,1424,1941,5169,5432,15908,15932,22404,14296,12968,2602,119195,81555,97436,9740,94587,146472,171796,578409,80907,1829,1983,1561,5420,2039,303,965,927,4793,484,955,944,1010,4805,378
7,219,85,438,1,0.023529,3350,5668,18479,20314,14641,460,432,671,1332,2112,505,202,74,1400,222,785,1358,1671,4512,2853,5600,5624,5516,2672,5600,1496,32545,31012,32097,2593,108599,131146,161437,342835,82847,521,575,214,1450,1178,118,517,162,1404,210,494,483,200,1403,190
8,292,292,1250,1,0.01466,7973,19514,61469,64833,44216,1727,1665,2296,4534,6931,1821,557,210,4580,571,2068,2829,2606,5168,3717,16172,16196,17872,9026,16172,4342,206681,68204,72828,5039,371236,575323,615252,1381693,323194,3211,3019,1166,5901,4440,286,1707,443,4721,565,1819,1751,430,4644,475
9,331,104,662,1,0.019231,4803,9395,26810,29605,22478,643,645,932,2011,2885,695,304,88,2076,308,1059,1869,2230,6854,3650,8364,8388,7248,3527,8364,2062,56991,48234,49819,3606,148017,198614,248648,717750,136702,785,790,240,2136,1697,156,707,170,2087,284,663,757,168,2070,280
10,608,188,1216,1,0.010638,6865,18120,49490,54794,44641,1184,1164,1605,3743,5301,1244,559,142,3971,559,1515,2075,2007,4530,5905,15348,15372,13160,6856,15348,3562,156796,85374,89477,6338,609908,786841,911209,2509773,592481,1386,2182,761,4678,2997,234,1226,288,3861,422,1260,1388,274,3775,450
11,85,85,304,1,0.042076,2516,4638,16935,18044,11022,348,372,567,1051,1705,404,152,74,1048,176,509,693,673,1276,2661,3992,4016,4980,2538,3992,1146,21636,18062,19747,1821,20186,33935,40584,87726,22899,400,440,160,1146,1149,106,378,122,1104,248,382,382,136,1046,154
12,958,292,1916,1,0.006849,11688,25363,70923,79050,67376,1857,1857,2550,5598,8153,1937,825,216,5784,851,2264,3213,2993,7045,4719,24164,24188,20536,11064,24164,5474,340851,133496,137529,10155,1504676,1928779,2202078,6188776,1496567,2170,3292,1140,7051,4656,431,2025,505,5792,757,1902,2146,456,5648,667
13,39,39,85,1,0.055884,1326,2128,11251,12469,6494,220,264,366,611,1026,230,102,86,623,138,352,461,449,809,1348,1180,1204,2080,1123,1180,713,7830,11726,11623,603,4895,6716,11355,19033,5821,296,304,132,669,745,80,232,110,633,90,250,292,112,663,124
14,49,49,108,1,0.044981,911,1767,8531,9375,4654,224,230,312,532,811,234,82,56,546,78,284,427,372,645,1304,1496,1520,2612,1406,1496,643,7852,9125,10473,472,5135,7820,11006,19400,6153,258,272,108,564,597,58,222,86,601,64,218,268,80,517,80
15,118,118,297,1,0.02133,3240,4792,19344,21268,10894,438,445,659,1196,2142,583,156,98,1266,162,613,827,909,1466,2927,4040,4064,6404,3389,4040,1474,24638,22431,24335,2717,42291,60930,91269,149724,47298,530,593,232,1372,1480,110,492,172,1248,166,499,434,170,1214,162
16,274,274,943,1,0.012561,5993,13859,51893,60236,35256,1655,1532,2216,3965,5905,1723,437,236,4035,440,1998,2711,2487,4346,3197,12416,12440,15852,8130,12416,4145,138662,58858,63214,7934,296909,475968,525261,1038798,276490,1931,2833,1156,4662,4192,232,1663,400,4091,432,1717,1679,412,4015,370
17,443,443,1033,1,0.005264,7524,15152,64988,77767,39394,2949,2132,2963,5292,7618,2400,458,320,5203,466,2671,3444,3244,8245,3975,14172,14196,23648,13183,14172,5408,207304,75449,82899,10844,683095,1119295,1302124,2050786,720531,4249,4129,1635,6075,5556,216,2232,563,5344,446,2370,2294,608,5249,388
18,1454,1454,3377,1,0.001597,31398,55865,218267,244921,121840,7824,7976,10259,16659,25249,7946,1422,1138,16697,1450,8844,11485,11429,18621,14513,46344,46368,77508,45239,46344,18540,1978497,248987,264447,19334,8589687,14984042,19289475,28371637,13791157,14665,13160,7544,22568,19220,889,7714,4604,17296,1430,8009,8315,3969,16743,1312
19,1612,1612,3718,1,0.001431,33613,58668,231462,256685,128819,8497,8668,11054,18120,27067,8602,1539,1230,18151,1532,9611,12497,11970,19705,16492,51068,51092,85824,50188,51068,19871,2310479,269910,280784,21207,10164972,16297664,20748178,31780987,16432299,15555,14647,8694,23498,20434,998,8458,5380,18491,1567,8564,9021,4037,18290,1552
20,1624,1624,3837,1,0.001455,34875,59726,230720,273114,132155,8451,8393,11421,18142,27165,9229,1593,1260,18172,1585,9684,12944,12080,20296,16609,52544,52568,86828,50748,52544,19741,2393367,277484,294340,21845,10426698,17201177,23070938,34531058,16026185,15813,14774,8532,23894,20578,903,8540,5247,18667,1709,8738,9056,3955,21139,1456
21,1723,1723,4117,1,0.001387,33545,53428,260759,292238,146759,5297,5492,8912,14832,24481,5382,1745,1607,14357,1757,6572,8858,9533,17240,12465,56300,56324,92304,54593,56300,15529,2823896,309043,322188,16583,11607279,19433336,27118222,44079362,22241108,12569,11573,6490,17491,17188,1003,5358,4923,15364,1801,5560,5690,4083,14918,1614
22,5300,5300,13571,1,0.000483,121195,227469,904480,978619,446288,18264,18967,29415,48575,75657,18596,5940,10668,46964,5897,22227,30497,33692,55849,40407,184056,184080,287508,170152,184056,59162,27653538,1164843,1235611,61002,114356313,197401927,275782762,474405290,223713695,21240,28357,25633,56339,55728,4310,19122,22119,50061,5680,18873,19805,18171,48509,5097
23,48,48,224,0.05873,0.097222,2835,3145,22953,31561,8443,266,278,409,1072,1216,370,118,262,1093,134,350,513,523,1238,2086,2884,2908,4940,3086,2884,847,13700,17951,21881,2432,8127,10634,14156,39684,8477,308,362,328,1082,879,78,280,264,1122,90,286,284,268,1080,114
24,66,66,2211,0.076737,0.507576,9712,26119,281055,414714,74786,1458,1540,2122,8239,7047,901,965,849,12629,978,1454,1935,2679,8766,9920,26800,26824,35460,23691,26800,3630,187832,174485,212683,4813,76964,106219,113198,524998,49033,1138,3194,1268,8055,2482,535,1483,1404,8151,809,1478,1499,1416,8085,763
25,112,112,376,0.004464,0.029974,4867,4811,30921,42541,13046,290,314,369,1218,1725,250,184,226,1276,204,427,643,661,1535,2799,4964,4988,9600,5932,4964,1082,30823,28644,34590,4376,41301,64443,77343,171271,42736,280,378,354,1286,1012,120,332,316,1258,214,358,292,336,1250,178
26,132,132,1890,0.081038,0.108471,13864,24456,205058,279314,76048,1330,1344,2875,7969,7023,1210,845,1264,8077,848,1731,2092,3392,8397,9537,23212,23236,32280,21086,23212,3689,222908,143855,175006,15502,141944,203788,228732,983733,124766,1500,2513,1711,7932,3166,424,1376,1366,7944,817,1478,1392,1428,7756,707
27,153,153,1288,0.113812,0.055022,9460,19374,124028,159008,46802,1022,1012,1725,5380,5035,856,575,855,5496,589,1170,1567,2196,5784,6795,16072,16096,23272,14760,16072,2803,159537,92513,112160,11559,130372,188651,216141,721238,120812,1008,1867,1302,5692,2468,254,1063,991,5382,458,1052,1108,1000,5305,479
28,420,420,4140,0.016162,0.023469,19306,53414,432377,597512,151948,2843,2861,3837,17737,15250,2470,1839,2528,17803,1841,3091,4310,4839,18540,6949,51364,51388,78744,54852,51364,8067,1154311,313395,381200,10425,1271142,1877345,2056986,7323456,1039257,2685,5211,3576,18033,6718,850,2985,2965,17562,1591,2869,3007,3129,17322,1414
29,420,420,4140,0.016162,0.023469,19180,53518,436145,603844,149025,2843,2835,3853,17671,15422,2448,1817,2524,17799,1841,3105,4251,4771,18194,6730,51364,51388,78744,54852,51364,7860,1145578,314965,388488,9616,1260648,1856920,2035153,7362946,1008477,2665,5153,3540,18142,6650,935,3021,2975,17719,1618,2899,3045,3091,17412,1420
30,1074,1074,7017,0.054561,0.006083,40370,105375,691218,937510,258358,7057,7784,13489,36298,30893,6698,2975,6189,33070,2991,7832,10944,14531,36809,15936,88504,88528,128952,89726,88504,18502,3712353,525525,639705,21811,6635617,10018210,11200550,30984948,7201797,7967,14653,9025,35921,16891,1436,7467,7375,34186,2418,7189,7935,7281,35284,2376
31,1083,1083,9760,0.196275,0.008321,42399,132656,750083,998550,333132,6329,7373,7450,29752,32473,3206,4203,2695,30104,4246,5662,7786,9739,32657,13587,121456,121480,164704,116586,121456,15274,6459696,570674,709194,18632,7746994,12135881,12528942,38745787,8254829,3394,11014,5831,31457,12174,2456,6402,5764,29917,3516,6412,6393,5959,29587,3406
32,1086,1086,11578,0,0.009817,47559,156202,1091824,1478243,367000,7363,7684,10597,43057,37209,4021,4848,4129,43046,4789,6378,8942,10780,45465,15785,143284,143308,220024,162792,143284,17414,7741766,844341,1050949,29285,8737957,12871751,14065423,51892668,8536706,4368,11976,9037,42341,13914,2324,7409,8684,42906,3951,7570,7499,10042,41974,3885
33,1473,1473,17857,0.016394,0.00823,73662,227969,1740706,2435536,621599,11483,11942,18225,70724,58189,6748,7564,7335,71367,7528,10710,14246,18867,73051,25223,220180,220204,328120,245812,220180,29146,17110269,1353486,1770234,47074,18490221,27284137,28867857,110671161,20502747,8311,19576,15030,68671,22342,4227,11880,15633,70616,6512,11730,11900,15014,69887,6353
34,1473,1473,17857,0.016394,0.00823,72331,220399,1671242,2353943,604716,11652,11904,17757,68542,56295,6488,7309,7355,68853,7275,10756,14070,20981,70083,24464,220180,220204,328120,245812,220180,28243,16465714,1310237,1687985,47332,17875508,26477203,27795975,106832002,19930751,7680,18845,14799,66869,21716,4043,11427,14937,68205,6342,11196,11435,14699,68716,6281
35,2003,2003,42943,0.045165,0.010704,201989,617795,5308046,6715085,1459874,26621,27599,50058,172539,136267,19610,17805,22658,168475,17733,27774,34827,55670,183341,63737,523332,523356,724796,560565,523332,106349,83832293,4000850,5054594,129625,55622121,83493896,90323286,345083064,50251612,23410,54888,40129,162929,51218,12850,27319,41862,164528,17811,27235,27325,38732,161553,15441
36,1806,1806,32630,0.003455,0.010004,144955,461180,3933898,5135298,1145989,21019,21474,33942,125649,107473,16068,13910,18959,126559,13922,23397,28858,37472,123425,50414,398788,398812,578672,444012,398788,63300,45938207,3112135,3935144,85566,40577404,59414119,63746069,231110629,36673502,17755,38089,32711,123074,41269,8179,21384,30607,122716,12641,21213,21229,30202,122171,12533
37,3948,3948,60882,0.042447,0.003906,277833,923173,7097869,9333777,2114085,39863,40239,73313,249556,207345,28050,26405,36804,246532,26205,40385,52836,79952,249334,92846,746380,746404,1063020,813779,746380,130011,170611578,5683017,7341189,176925,171164701,268995042,271768849,1039731633,170146061,30861,69726,66464,239613,77575,18568,41058,62773,243142,25970,39606,39945,63593,238491,23642
38,4884,4884,147631,0.027921,0.006189,704741,2282014,15999499,22576367,4702943,99853,99478,162330,555640,458463,67026,73291,79940,558080,75974,82043,99765,170527,555321,182430,1791112,1791136,2459728,1935384,1791112,323775,810502274,14456405,20473228,418435,420675703,651963198,678291676,2813815150,359459732,58912,202836,163667,545265,130358,50380,97799,153766,547147,60613,97869,96819,147566,536141,58682
39,10974,10974,219812,0.00303,0.001825,963625,3693539,29204024,37778447,6947599,148083,152944,269677,834689,708098,100228,112164,100330,848042,111120,129869,162212,261281,846185,287164,2681644,2681668,3860744,3023405,2681644,489784,2234820611,21678888,29309324,661260,1539334604,2385303347,2445183870,9858909167,1598196860,96573,268846,260354,827959,221204,78401,145909,263967,827311,93148,147961,148835,231830,808739,85797
40,11948,11948,80519,0.013129,0.000564,459710,1414180,8651495,11369645,2534906,73822,74984,123593,349560,343610,74908,41223,72722,348176,42345,85365,123994,138062,357062,176176,1014024,1014048,1652316,1219515,1014024,234201,520716447,6680869,9106857,275757,1135670694,1738970227,1802610475,4794632738,1290960102,81374,98673,128994,341915,179052,21810,76367,127647,351653,32709,74213,81110,103766,342881,29052
41,817,817,3835,0.00035,0.005745,22446,48021,294470,419961,139203,2648,2707,3326,13447,15395,1940,1691,2003,13759,1691,2785,4101,4811,14980,6249,49292,49316,87504,60608,49292,7974,1560595,278931,342217,11401,3033063,5006835,5526119,13393669,3514963,5083,5608,4213,14932,7540,1050,2771,2923,13623,1511,2715,2755,2953,13375,1314
42,485,485,1810,0.003643,0.007695,16935,23828,143563,206254,67065,1452,1470,2108,6993,8361,1392,813,1378,7129,837,1793,2562,2707,7728,3532,23664,23688,44420,29402,23664,4566,452681,141817,166111,20744,952228,1563616,1760932,3960863,999294,3490,3344,2650,8720,4885,511,1550,1601,7023,715,1532,1614,1657,6989,651
43,3600,3600,15100,0.061222,0.001165,75838,184704,1283429,1726568,540359,9952,10810,17946,44333,58958,6127,6538,7436,46160,6574,10409,15032,20125,50098,23828,195604,195628,343600,240051,195604,26786,25152116,1123914,1380082,35444,59807054,102315916,110112567,237493567,98204619,5542,20536,19574,50392,29383,3995,10355,18486,44682,6305,10209,10297,16402,44479,5749
44,138,138,417,0.011473,0.021897,6067,7147,47343,64174,22406,560,629,903,2296,2626,619,240,659,2348,246,849,1096,1204,2630,4390,5560,5584,11040,6759,5560,1837,54083,46379,52424,5388,62182,106333,124245,247542,79308,1887,1454,1128,2833,1833,170,629,647,2268,258,715,727,601,2360,222
45,3134,3134,24156,0.020328,0.002459,122998,373642,2477308,3352778,869481,17539,18352,30826,102935,91904,15673,10289,18790,103985,10353,20191,28142,33731,106124,43557,302412,302436,480580,355911,302412,53342,40195416,2108064,2502349,66556,66583404,106183672,111146276,354894148,90485747,16809,32819,29126,104123,42499,6165,18693,26074,102360,9437,18089,19262,25698,100833,8962
46,3562,3562,81736,0.00037,0.006442,363862,1268984,10379840,13980534,2620932,55181,54336,84995,308737,257202,39313,44716,47579,312522,44296,49338,55750,89053,302201,102897,995084,995108,1421376,1113630,995084,171255,268149007,7846533,10666827,239256,175270458,275794820,293231104,1152414760,170759698,29643,108401,81073,301375,76625,24307,53727,85276,302016,34240,54560,53314,84562,297590,32110
47,15439,15439,133840,0.006315,0.000561,666836,2105919,14438511,19275374,4221700,96587,95681,204287,545838,507305,88077,69212,85087,551929,69763,108323,148792,196825,569768,239056,1667840,1667864,2622012,1971639,1667840,340659,1213622562,10843666,14998299,404953,1989102057,3069937392,3198457754,9777866616,2590817043,91088,142547,230839,534815,222635,44293,96224,209593,554043,56582,96507,99590,175419,539451,49246
48,1922,1922,16129,0.006932,0.004366,83525,234896,1727922,2290895,579204,11904,12427,20853,69005,63306,12106,7009,12239,69943,7093,14569,19769,23329,70808,31964,201240,201264,318056,236048,201240,35222,17417182,1366545,1730542,49394,25917452,49030061,51373620,150298364,32180818,13136,21712,18857,69648,30756,4322,12715,17713,69179,6294,12220,13368,18681,67767,6003
49,1224,1224,28675,0,0.01914,114679,385260,3039793,4355309,955401,18414,18839,24666,106351,89171,8451,12239,9838,107922,12341,14731,18641,26451,107399,36228,349000,349024,497992,381333,349000,41840,31949558,2580065,2929386,58742,20718037,31536302,32952366,136056618,16835212,10519,36496,21997,106714,25608,6510,18560,23652,105115,10419,18568,18498,22125,103846,10133
50,4410,4410,111717,0.000032,0.005744,497862,1745912,14873671,19148050,3565267,74365,74257,115807,428630,354765,50212,58143,69167,433457,57135,60826,76383,122504,415621,138874,1358248,1358272,1928568,1513325,1358248,244176,471660566,10748135,14514590,314347,295117058,457273195,473685853,1950051496,276136906,41379,147843,112551,417627,100063,33963,73920,117642,416657,46627,72688,73107,117520,408736,46429
51,13992,13992,316740,1,0.001618,1819493,5562116,8840878,9791804,10474352,211394,211022,223305,817056,1014541,150249,159128,30394,644993,157840,191741,245869,235475,831163,437624,3856852,3856876,1882632,1003787,3856852,809224,4023193895,6139575,7160119,1099458,2914633868,4417594085,4472831985,12384756689,2580902952,145761,416473,136371,791308,318268,109058,208591,121918,811862,139926,212564,209879,71301,818100,120698
55,8738,8738,300321,1,0.003933,1629203,4947591,7421824,8490146,10466283,199680,199624,202175,774055,925079,134987,149262,12694,595222,148933,169309,202295,191098,769248,374410,3638808,3638832,1585780,830690,3638808,893842,3198162392,5071191,5778192,1014467,1514547209,2331766974,2320868346,6949919369,1306632969,130133,422602,97240,772062,255695,106906,198510,89437,773310,123686,200967,199073,52604,774011,113088
56,48,48,48,0,0.020833,565,749,4522,5893,1725,82,72,96,194,488,86,54,52,200,46,136,194,234,318,785,772,796,2328,1320,484,340,811,6009,6921,226,2863,4794,9640,11159,3478,90,118,112,242,418,64,112,80,216,34,78,74,76,192,66
57,66,66,66,0,0.015152,673,697,6480,7702,2951,88,86,116,248,534,82,48,66,236,66,156,226,256,348,689,1060,1084,3192,1806,1060,410,885,7660,8418,312,6464,7766,17370,19959,7054,90,116,122,294,477,52,82,96,254,46,88,86,92,254,70
58,112,112,112,0,0.008929,994,1278,11632,13429,4490,132,146,204,438,990,140,84,102,402,78,222,323,402,609,1138,1796,1820,5400,3048,1316,567,1416,13551,15305,463,29407,43375,68370,77519,34530,136,190,220,511,907,62,122,176,448,54,144,134,166,418,90
59,132,132,132,0,0.007576,1891,1400,12065,14463,5853,148,154,204,462,998,154,86,100,445,62,232,364,523,611,1396,2116,2140,6360,3588,1324,673,2564,16140,16030,2136,25079,55119,86187,97911,46633,665,607,491,1033,1040,62,140,176,442,60,148,144,176,458,94
60,153,153,153,0,0.006536,2112,1709,13754,16399,7187,162,168,230,511,1166,160,96,114,484,96,242,380,537,655,1887,2452,2476,7368,4155,2452,729,2901,17675,17773,2588,39374,79399,112382,130256,66250,679,645,522,1092,1082,68,150,200,511,86,174,154,198,507,106
61,420,420,420,0,0.002381,8404,3985,36508,44143,18438,397,412,579,1416,3206,392,208,326,1418,220,515,835,1194,1651,1134,6724,6748,20184,11692,6724,1504,6909,47934,47859,6690,443181,851583,1044200,1207090,586439,1821,1622,1357,2989,2953,126,451,539,1440,294,408,394,565,1430,202
62,420,420,3836,0.003508,0.021746,17344,49240,335781,481661,138652,2591,2598,3400,15733,13824,2220,1643,2236,15851,1663,2871,3951,4164,16274,6211,47716,47740,74600,51869,47716,7420,1010744,287765,349986,9977,1187279,1780297,1962837,6804208,981490,4490,4792,2911,15643,6131,797,2745,2709,15555,1374,2625,2761,2877,15268,1280
63,1074,1074,1074,0,0.000931,12539,10075,92341,110801,45154,953,1088,2687,3468,8077,963,483,811,3514,525,1142,1975,3384,4203,2879,17188,17212,51576,30658,17188,3442,15489,121541,122880,15827,3171490,5777939,7004223,8260375,5314788,4586,3851,4312,7273,7522,314,971,2151,3534,489,960,983,1847,3735,485
64,1083,1083,1083,0,0.000923,12826,10165,93645,111803,45331,979,1108,2636,3474,8237,985,492,823,3559,505,1212,2113,3514,4168,2857,17332,17356,52008,30919,17332,3498,16460,124006,122886,18955,3212700,6193570,7149343,8444206,5378568,4520,3849,4151,7414,7642,418,1072,2174,3510,485,999,1091,1877,3681,437
65,1086,1086,11589,0,0.009826,48909,163873,1112839,1550971,410161,7598,7794,10239,42664,38696,4059,5005,4085,42804,5047,6444,9193,11830,46403,15985,143416,143440,220200,162935,143416,17493,7991248,877311,1091956,30789,8960063,13298619,14344362,53065979,8829531,4350,12465,8835,42526,14048,2438,7816,9688,41894,3983,7678,7744,9415,42597,4123
66,1473,1473,1473,0,0.000679,17807,15126,128078,153416,61865,1310,1649,4719,4542,11129,1282,657,1208,4534,669,1809,2863,4799,5153,3937,23572,23596,70728,42229,23572,4839,21620,166831,167415,22017,6025481,10654617,13812853,16136442,14095952,6133,4740,7576,9036,10391,415,1387,4430,4701,739,1414,1376,2931,4774,693
67,1473,1473,10566,0.025227,0.00487,49432,150215,1011470,1396439,379720,7077,7373,11523,38262,38103,4448,4580,4568,39965,4598,7862,9660,12862,41041,16280,132688,132712,211872,153677,132688,18318,8583952,768433,954696,28689,13243297,20579828,21948529,64631856,18034296,4546,13539,9992,39983,17659,2286,7205,9243,38127,4132,7171,7364,9173,38145,3895
68,2003,2003,11973,0.033206,0.002984,64346,180091,1353574,1743826,428191,8766,9357,22229,50771,47481,8269,5174,8634,50680,4847,11022,15026,24772,53792,23696,151692,151716,240736,173503,142548,30539,14267839,1114965,1301527,31296,22618646,35402877,42508140,115603246,34365645,9391,21560,18348,53961,26880,3252,9457,16218,50947,4614,8996,9513,14968,50514,4011
69,817,817,817,0,0.001224,9704,7889,70297,84053,34080,731,789,1348,2578,6061,727,372,607,2556,402,971,1454,2599,2977,1859,13076,13100,39240,23205,13076,2680,12080,92623,91165,12301,1769587,3375349,3951233,4651600,2791900,3472,2913,2621,6145,5735,256,751,1108,2546,394,767,737,1013,2514,346
70,485,485,485,0,0.002062,5871,4408,42197,51845,20708,456,468,641,1617,3749,455,256,375,1627,242,575,936,1388,1911,1212,7764,7788,23304,13577,7764,1743,7864,56435,55610,7451,601902,1139631,1378090,1631211,827480,2088,1793,1501,3412,3386,134,452,623,1602,264,471,458,595,1623,220
71,3600,3600,3600,0,0.000278,28499,40179,327672,372310,145460,3047,3626,12749,11128,26259,3039,1645,6221,11505,1565,4290,6309,13347,13269,9810,57604,57628,172824,103912,57604,11169,37195,450487,432827,13693,39497012,74468995,85199457,99494131,86060548,2733,11700,19979,23407,24904,1022,3418,12735,11766,1823,3492,3308,11226,12351,1627
72,138,138,138,0,0.007246,2687,1769,16240,19921,8884,188,198,272,597,1416,204,116,136,580,132,288,412,567,763,2238,2212,2236,6648,3750,2212,839,3241,21115,21003,2729,34919,84935,127086,142561,65408,1106,863,607,1368,1262,84,176,244,599,108,200,186,232,615,138
73,3134,3134,3134,0,0.000319,25552,32613,286096,317579,125565,2657,3043,11102,9778,23309,2649,1340,4105,9984,1350,3302,5665,11836,11339,8794,50148,50172,150456,90398,50148,9818,33795,388053,372913,12148,30004918,56337901,64017904,75091789,72448868,2408,10409,12597,20059,21692,861,2939,11094,9976,1535,2869,2817,9167,10167,1276
74,3562,3562,3562,0,0.000281,28090,37234,322851,359979,143429,3013,3556,12286,10694,26004,3146,1575,5277,10664,1545,3921,6195,13387,12365,9393,56996,57020,171000,102810,56996,11035,37506,440219,422566,13483,38765643,72975137,83249837,97072976,94833319,2779,12094,19604,22770,24551,1114,3276,12244,11036,1783,3520,3215,11816,11122,1889
75,15439,15439,15439,0,0.000065,98506,181957,1682387,1767226,491748,13179,14240,53007,48020,113537,13168,6632,26179,49252,6624,16060,25752,51741,57115,40261,247028,247052,741096,447243,247028,44211,140635,2067205,1951085,56343,723804042,1358659646,1558147444,1819783944,2072774039,11092,18440,79677,49190,106694,3995,13890,73634,50055,6856,13994,13603,50065,51813,5754
76,1922,1922,1922,0,0.00052,21971,18967,167109,199911,79118,1681,1973,5831,5859,14320,1707,851,1751,5899,863,2116,3601,6492,6792,4981,30756,30780,92280,55250,30756,5943,27950,220002,219806,29076,10203682,25038321,32432922,36411553,24745493,8157,6750,9740,12064,13611,513,1799,5650,6187,899,1773,1811,5256,6203,935
77,1224,1224,28675,0,0.01914,113967,383250,3173584,4394592,919174,18386,18761,25173,106516,89299,8433,12261,9906,107571,12251,15551,19071,25682,105017,36518,349000,349024,497992,381333,349000,40527,31754664,2335743,2968796,58581,20499329,31069273,32836347,134702995,16886843,10483,36456,21784,104071,25153,6416,19189,22860,104485,10189,18478,18528,22145,103652,10042
78,497,506,50409,0.505712,0.200448,222030,675080,4974374,7215387,1612019,32693,32084,60311,221862,146184,13898,21374,9818,222294,21348,24189,30389,76471,227070,60962,606936,606960,514780,341469,606936,86844,70402021,5855703,7282505,100504,12753466,18265383,28854458,113400506,7812204,24888,97987,16102,216412,39568,8429,32062,16194,220920,16308,32110,32014,17310,215718,16124
79,497,507,53403,0.499888,0.211934,238385,705068,5433343,7924537,1693943,34208,34085,64859,238867,155269,14834,23413,10730,241495,22758,26163,32803,80324,247458,64575,642868,642892,554112,369743,642868,81837,83286329,6272763,7806887,107461,13502824,19483283,30995326,123230957,8275632,26614,105363,18007,234606,41656,10616,34140,18106,238505,17152,34192,34198,19220,232999,17158
80,497,507,44551,0.423424,0.176804,200876,610182,4934888,7157887,1424367,28736,28477,56305,212626,131001,12710,19107,10445,212312,19035,22297,27331,71065,219514,55051,536644,536668,507808,351566,536644,74291,57724204,3739017,4630968,90816,11518102,16576990,21455937,108325984,6988423,21051,83703,16394,204345,36316,7520,28635,17925,212061,14855,28641,28617,17765,205533,14509
81,2132,2132,8502,1,0.00187,52390,117847,403487,433683,284608,5756,6340,9860,22476,35135,4709,3590,2703,19368,3627,7494,9942,11369,26722,14677,110556,110580,127840,73479,110556,18434,8671417,380211,423448,26848,21259393,35741618,39427045,76840533,33823422,5302,12737,8462,22826,18669,1985,6043,7674,22712,3644,6003,6209,5796,22540,3274
