Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSC Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSC InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSC Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSC Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSC Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSC Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSC Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSC Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSC Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSC Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
551,14760,14760,157990,0.023165,0.000725,911956,2626648,17983943,23587401,5043367,104742,103620,233772,563032,483412,75914,79823,68706,575944,72558,101023,128649,220568,601874,209338,1954924,1954948,2902864,2195325,1800928,521357,1474325907,17327534,21263314,504662,1748148556,2725869934,3551455762,10030641044,2185648131,73335,219449,261157,558148,185460,51999,102177,251874,571073,59150,102602,101261,202920,571904,52143
552,17730,17730,203316,0.030445,0.000647,1250782,3356275,20728723,27753992,6631031,135876,135584,346313,736734,616332,96941,102528,95697,740100,93455,135578,167356,348157,786890,269779,2510716,2510740,3636264,2752491,2270824,713400,2363485887,22995717,29329952,717930,2667409247,4107031127,5483942119,15595072974,3494582290,99444,289276,337084,722801,232227,73161,132592,331878,732852,79763,136301,132398,277939,727246,70315
553,17730,17730,203316,0.026132,0.000647,1262991,3357940,24026701,31206041,6635227,135930,137279,351415,741354,615707,94974,106299,96174,744316,97050,136398,167740,348844,780943,264847,2510716,2510740,3648960,2764112,2270824,715237,2368161365,21899122,29670371,679027,2672040203,4113949369,5423067861,15594633576,3503281978,99328,288392,336495,728615,232496,74531,135003,334044,739875,80000,136542,132803,280055,736729,70574
554,23670,23670,293976,0.033974,0.000525,1902504,4502958,32876115,42149333,9505202,189555,192064,480362,1032815,847203,140888,156273,148450,1021696,134846,194240,242957,499142,1078280,365323,3622396,3622420,5124300,3886224,3210460,1046182,4711175893,34698668,43161832,1144552,5027461296,7622739511,10032919337,28808650821,6395395368,143645,433403,493948,1010168,312622,126038,188884,494199,1020199,119095,196887,190960,425273,1025156,105556
555,23670,23670,293976,0.029535,0.000525,2040741,4591167,38362021,48869636,9787686,195196,196871,534168,1035479,872765,145909,157026,150868,1065326,135532,195749,245536,488199,1121639,382264,3622396,3622420,5142648,3903022,3210460,1012008,4806992156,35131015,47224161,1067399,5146046249,7840057806,10261593916,29683283063,6453658962,152722,434294,504275,1039786,322319,119858,194645,485448,1055547,118335,200588,195500,429874,1054331,108084
556,29610,29610,384636,0.036085,0.000439,2790872,6509705,46145262,60153813,13026958,254791,256190,632011,1355209,1119333,192935,208855,268874,1375796,180693,262127,321200,693541,1457229,479731,4734076,4734100,6612348,5019968,4150108,1417523,8247267276,49518176,65251640,1499853,8349994243,12580859188,16427513824,48252278976,10225267658,197488,582530,640587,1344207,404845,164706,253268,644511,1362515,161192,261139,256254,591597,1354731,142996
557,29610,29610,384636,0.03172,0.000439,2622511,6520857,53069611,67414227,12992463,254254,255617,634804,1344702,1117033,191517,212967,238711,1364807,180294,261185,319890,661670,1417366,469097,4734076,4734100,6636324,5041923,4150108,1395723,8318539303,53653971,69584391,1521688,8321603462,12488467509,16414496638,47475523553,10267348068,196959,576489,640110,1354791,405828,148077,253437,646291,1351893,161597,261290,254016,562813,1350136,141345
568,6774,6774,38692,0.101962,0.000843,215969,622669,3137785,4259489,1222910,26397,27784,60191,132105,133063,20646,16495,20833,131238,14342,31230,40648,62090,151121,60385,491404,491428,697120,482581,432028,119381,126008974,3385019,4527524,126979,263825480,427899144,542860422,1204639561,418158816,22858,52141,49370,135852,69298,10730,27579,53594,136608,12996,27030,27603,45102,139968,12473
569,6774,6774,38692,0.074785,0.000843,226128,616518,3509023,4739385,1195089,25413,26563,74271,148438,129535,19903,15601,22147,151346,13749,29892,38796,75167,166446,57794,491404,491428,719740,503225,432028,115548,121205245,3115064,4534142,119927,255449776,414669810,546487335,1297977634,415443910,21841,60891,60539,157072,67222,9974,27185,57622,150417,12856,26499,26468,46743,152235,11924
570,13694,13694,82842,0.10408,0.000442,516630,1489117,6828628,9135092,2685493,59140,58000,121544,271130,278742,43575,43190,32196,266070,36594,61761,79340,128921,310192,119408,1048884,1048908,1453612,1010182,927588,262849,592354774,6900484,8200382,289302,1130373228,1778114992,2254797284,5051142375,1757198671,44034,113911,117821,277360,136606,22063,56758,125138,278691,28022,57237,56939,85548,284325,25830
571,13694,13694,82842,0.080631,0.000442,535356,1439253,7808962,10239429,2625009,56897,56492,141533,308528,276240,44802,45369,38646,300888,36376,60347,78816,162887,342630,119794,1048884,1048908,1492756,1045977,927588,256741,590163459,7223747,9424058,296307,1111376088,1761465758,2381598640,5704736959,1752421144,43407,112238,120938,296556,134281,22933,56371,133913,307619,28301,56472,56433,91321,312921,25077
572,20614,20614,127182,0.104792,0.000299,791130,2178996,10152019,13470293,4182891,87997,88498,222076,412105,425916,65825,66815,56648,396666,57523,94749,120445,231312,469376,187283,1608644,1608668,2213132,1540242,1425296,404196,1365413572,10345576,13282042,409414,2590747958,4087583392,5159277442,11770890200,4026399230,64951,176489,215097,416134,202588,43527,86017,208548,422600,47158,87694,87364,150556,430359,40752
573,20614,20614,127182,0.08034,0.000299,822699,2199389,11673555,15495297,4181525,88161,86325,246660,466785,420482,69270,66666,61860,453061,58429,97354,119267,241286,530677,187357,1608644,1608668,2272628,1594692,1425296,434332,1353685853,10583731,14057663,518520,2562687348,4036024350,5545675122,13198317059,4022923964,66807,172656,220241,460255,213921,43633,85075,216382,484244,47322,88263,85334,158134,475199,43249
574,27534,27534,171522,0.105146,0.000226,1100987,2972800,13310626,17721917,6149156,116721,114116,302182,519871,545867,92473,93495,67534,502181,78737,128062,159217,268864,605445,235574,2168404,2168428,2972652,2070302,1922896,575601,2352657687,13816659,18059848,665439,4467132675,7076000440,9004447111,20252832032,7114739975,84452,227070,321575,532645,589584,57696,112020,289348,539047,68486,119818,112817,227659,553963,60107
