Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSC Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSC InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSC Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSC Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSC Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSC Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSC Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSC Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSC Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSC Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time
1,1138,1138,2596,0.002648,0.002005,18575,45916,246643,304882,81713,6171,6252,7104,14247,19377,6092,1122,6151,14668,1142,6903,8756,9908,15500,11221,35708,35732,77712,50623,35708,13766,1204319,232486,271559,14888,4947890,7679805,10278268,15623955,6464655,31649,15489,7554,15439,15249,521,6282,5962,14627,1032,6261,6822,5841,14257,892
1,1138,1138,2596,0.002648,0.002005,22893,46978,229600,307357,133500,6072,5911,8035,14397,19467,6122,1112,5971,14467,1122,6883,9098,8435,15379,11542,35708,35732,77712,50623,35708,14527,1225619,231935,273353,15449,4981955,7679033,9185299,15135048,7209342,7003,15299,6622,23604,14708,440,6542,6422,14437,1172,6322,6442,5991,14608,962
1,1138,1138,2596,0.002648,0.002005,25117,45054,237476,305392,103824,5901,6172,7063,14297,19446,6062,1102,6111,14487,1122,6863,8937,8326,15409,12122,35708,35732,77712,50623,35708,16821,1205611,228188,267562,14627,4971675,7922861,10640618,15455199,6419871,6813,6442,7854,23715,14387,541,6222,5801,14437,842,6092,6752,6352,14237,882
1,1138,1138,2596,0.002648,0.002005,20679,44944,233428,309320,87314,5921,6151,7194,14327,19407,6042,1112,5971,14126,1112,7003,9107,8365,15560,12093,35708,35732,77712,50623,35708,13396,1200962,232466,261971,16210,5033361,8230678,9196178,17449048,6552710,5901,6513,6662,14327,14808,1112,6111,6683,14648,851,6082,6673,5841,14657,1362
1,1138,1138,2596,0.002648,0.002005,31058,44584,237015,312306,85671,5941,5620,8857,14356,19426,6191,1102,6162,14567,1112,6802,9077,8346,15700,11852,35708,35732,77712,50623,35708,13686,1219327,235262,270157,15769,4980181,7769262,9094348,15664931,6427616,6723,6602,16671,14808,14677,821,6392,5520,14727,911,6302,6061,5931,14908,862
2,494,494,1080,0.007967,0.004426,7203,15980,94538,127238,35076,2525,2545,3075,6553,8285,2515,491,2615,6682,511,2946,3647,4348,7133,5109,14940,14964,32908,20852,14940,6001,250921,107942,117039,5740,873338,1351505,1630989,2608743,916319,13976,6933,2715,6943,6402,210,2735,2525,6883,661,2645,2876,5821,6402,420
2,494,494,1080,0.007967,0.004426,26851,15529,92764,126367,56135,2414,2164,2916,6492,8195,2545,491,2514,6793,501,2775,3627,3447,6943,4498,14940,14964,32908,20852,14940,5781,239820,96150,112972,6211,856276,1378827,1563172,2608783,977483,2475,6973,2715,10831,6221,201,2545,2384,6503,371,2495,2805,2455,6602,401
2,494,494,1080,0.007967,0.004426,8687,15279,94107,127038,44673,2174,2435,3036,6512,8186,2545,501,2375,6632,491,2865,3677,3376,7203,4608,14940,14964,32908,20852,14940,5640,246973,96771,114304,6252,854533,1366533,1644615,2660641,938871,2855,2675,2815,11972,5751,211,2765,2415,6822,371,2525,2254,2245,6483,401
2,494,494,1080,0.007967,0.004426,7224,15729,96712,131517,36438,2464,2585,2986,6482,8155,2545,480,2405,6612,501,2876,3587,3356,7083,4599,14940,14964,32908,20852,14940,5611,260589,97192,115366,31219,856386,1437977,1542483,2721064,940314,2023,2805,2735,6672,6261,210,1553,2485,6662,411,2484,2645,2174,6643,410
2,494,494,1080,0.007967,0.004426,11501,15199,95870,127710,36057,2344,1803,2986,6683,7955,2605,481,2495,6623,491,2856,3617,3466,7113,4498,14940,14964,32908,20852,14940,5550,248385,101079,116359,29545,843111,1332018,1544748,2603303,918873,2575,2795,7184,6852,6292,221,2544,2013,6813,381,2544,2745,2354,6412,421
3,662,662,1568,0.001538,0.003578,10450,25869,141175,186680,52108,3466,3456,3988,8797,11070,3366,721,3436,8796,721,4027,4950,5310,9608,6362,21468,21492,46236,29959,21468,7815,468538,153849,163827,8205,1670594,2557417,3253252,5133719,1864417,18986,9408,3838,8877,8896,732,3536,3367,8886,781,3427,3547,3346,8796,591
3,662,662,1568,0.001538,0.003578,40506,25778,137949,184215,79819,3426,3207,4027,8516,11021,3396,702,3507,8827,721,3887,5140,4999,9318,6351,21468,21492,46236,29959,21468,7914,443181,140323,161063,8486,1642701,2571153,2921059,5155139,2143089,4057,8706,3897,14346,8887,311,3757,3146,8917,561,3406,3507,3757,8486,561
3,662,662,1568,0.001538,0.003578,14547,25808,140994,187642,64380,3256,3476,3978,8837,11091,3417,711,3477,8736,721,3857,5119,4889,9548,5961,21468,21492,46236,29959,21468,8055,459682,140583,167724,8096,1660665,2601800,3153756,5133128,1833208,4068,3757,4318,15619,8486,290,3417,3357,8977,551,3356,3246,3647,8686,591
3,662,662,1568,0.001538,0.003578,10860,27161,141966,210134,52758,3386,3386,3858,8706,10991,3436,711,3447,8927,721,4027,4929,4689,9488,5881,21468,21492,46236,29959,21468,7474,464120,140874,161183,44634,1682777,2778562,2899559,5334385,1916806,3848,3737,3607,8966,8726,501,3186,3336,8947,531,3437,3637,3286,8626,581
3,662,662,1568,0.001538,0.003578,16611,24917,140964,186430,52528,3256,2876,3887,8746,10910,3476,711,3467,8666,721,3827,5049,4748,9458,6101,21468,21492,46236,29959,21468,7684,472576,141405,163927,42780,1636760,2528202,2887215,5116577,1834371,4338,3817,9708,8947,8707,291,3567,3005,8927,551,3427,3557,3286,8826,591
4,685,685,1967,0.004685,0.004192,12524,29295,180779,233388,63018,3967,4058,4538,10560,13736,3878,862,4218,10390,881,4488,5971,5611,10880,7485,26348,26372,53212,34989,26348,9067,645941,189535,192962,10019,1878724,2826191,3514712,6225447,1989061,19566,10109,4588,10910,9668,421,4248,3937,10360,651,3937,4298,3858,10299,701
4,685,685,1967,0.004685,0.004192,48030,29886,170820,230292,97072,3967,3868,4589,10309,13666,4068,851,4058,10450,861,4428,5911,5540,10921,7354,26348,26372,53212,34989,26348,9188,624251,162705,189946,10139,1848938,2841320,3188260,6221670,2392297,4619,9718,4368,16130,9758,351,4238,3847,10530,682,3898,4338,4008,10279,711
4,685,685,1967,0.004685,0.004192,16591,30157,176260,234540,77005,3848,4008,4769,10500,13846,3947,861,3828,10530,872,4529,6142,5761,11171,7023,26348,26372,53212,34989,26348,9217,635172,164588,193824,9709,1875959,2876656,3534410,6256595,2014969,4819,4459,4578,17152,9518,350,4107,3917,10650,661,4097,4258,3848,10540,691
4,685,685,1967,0.004685,0.004192,12263,29856,174638,233748,64271,3948,3938,4598,10510,13706,4037,862,3747,10420,862,4528,5811,5591,11261,7043,26348,26372,53212,34989,26348,9007,665117,169598,193152,52198,1909592,3098973,3174835,6559443,2048342,4418,4369,4478,10380,9628,431,3837,3968,10540,671,3987,4288,3647,10460,682
4,685,685,1967,0.004685,0.004192,19777,29385,174958,232646,63389,3867,3397,4478,10380,13526,4028,852,4028,10550,852,4389,6081,5490,10960,7083,26348,26372,53212,34989,26348,9107,632637,165390,195276,50004,1857624,2822124,3163754,6244212,1979273,4668,4479,10550,10670,9688,351,4218,3567,10700,651,4018,4458,3857,10360,681
5,313,176,1557,1,0.028264,6813,21130,49593,54643,48702,1122,1122,1323,4028,5811,1102,642,140,3968,712,1403,1804,1984,4729,8115,19392,19416,13996,6409,19392,3346,191159,68589,70522,3887,411913,529093,579748,1467863,328486,4619,3116,481,4248,2915,340,1182,291,4198,691,1152,1222,211,4138,551
5,313,176,1557,1,0.028264,10700,19907,48801,54993,56096,1102,1092,1342,3987,5781,1042,652,130,3958,661,1303,1764,1694,4659,8055,19392,19416,13996,6409,19392,3226,183043,68329,69951,4368,398878,421010,542207,1542523,312126,1112,3156,381,5751,2645,300,1142,250,4048,521,1092,1182,381,4148,531
5,313,176,1557,1,0.028264,7214,19637,49613,55905,51697,1042,1112,1313,3987,5821,1032,661,130,3997,661,1313,1883,1744,4749,6953,19392,19416,13996,6409,19392,3416,183183,70452,71323,4329,412754,535926,558748,1544647,238687,1122,1703,511,5571,2425,270,1082,211,4128,511,1092,1152,361,4228,541
5,313,176,1557,1,0.028264,6993,20178,50544,55073,49963,1142,1102,1333,4057,5821,1082,651,130,3987,671,1282,1723,1663,4789,7494,19392,19416,13996,6409,19392,3236,183834,70172,70773,4167,408597,561373,542668,1543806,237446,1052,1563,290,4107,2525,261,1183,270,4178,511,1092,1202,220,4127,581
5,313,176,1557,1,0.028264,8315,18785,50625,54743,49182,1082,2134,1363,4037,5861,1041,651,130,4068,681,1282,1773,1764,4689,7394,19392,19416,13996,6409,19392,3086,180949,71524,71565,3907,401794,533049,548709,1531192,251932,1272,1613,1843,4018,2525,280,1162,261,4148,501,1112,1092,151,4168,541
6,130,130,1282,0.21569,0.075858,5340,17323,130054,184275,41778,911,922,1753,4759,4078,752,541,701,4719,461,1132,1392,2174,4989,5551,15908,15932,22404,14296,12968,2504,122069,84699,95589,2976,105468,141546,177813,565090,67948,4919,2265,1032,4889,2054,441,952,892,4799,862,1052,952,962,4729,401
6,130,130,1282,0.21569,0.075858,20819,16851,123872,182763,53401,931,911,1963,4599,3937,702,541,711,4779,450,962,1292,1914,5030,5600,15908,15932,22404,14296,12968,2545,120276,79459,98044,3026,90029,152846,173866,575961,83727,881,2334,1002,7233,2034,361,942,872,4839,370,911,952,1282,4649,370
6,130,130,1282,0.21569,0.075858,5470,16812,125235,187041,43051,891,902,1653,4729,4118,701,551,671,4859,441,972,1793,1904,5380,5761,15908,15932,22404,14296,12968,2745,112090,81082,98524,2765,93706,136025,177653,578966,82184,921,1733,1152,5510,1883,241,941,861,4649,360,912,922,972,5080,380
6,130,130,1282,0.21569,0.075858,5491,17333,127739,185618,41768,921,962,1893,4689,4217,731,551,741,4739,451,972,1353,1874,5310,5150,15908,15932,22404,14296,12968,2285,127860,80561,96952,20208,92102,157615,162555,593524,88265,1423,1794,952,4719,2124,241,1042,931,4799,471,931,952,912,4839,371
6,130,130,1282,0.21569,0.075858,6202,16772,126878,185748,41447,902,901,1673,4738,3978,721,541,691,4869,451,1052,1292,1843,5140,5100,15908,15932,22404,14296,12968,2935,113684,81974,98074,19727,91632,144331,167093,578505,82415,1002,1793,3667,4749,2103,231,952,1082,4880,360,971,942,922,4729,371
7,219,85,438,1,0.023529,2835,6573,19407,21019,14948,531,541,682,1342,2084,551,211,80,1432,230,681,961,972,7534,3407,5600,5624,5516,2672,5600,1703,35256,30858,34053,1633,61585,92634,181030,299101,129784,622,701,190,1513,1473,100,561,121,1452,281,611,571,131,1403,210
7,219,85,438,1,0.023529,4358,5851,18185,20148,14206,531,411,712,1292,2023,541,201,80,1413,230,661,892,2675,10099,2735,5600,5624,5516,2672,5600,1553,30256,30597,31338,1633,119243,95900,154119,354855,78918,461,591,210,1483,1213,170,481,230,1342,201,510,481,531,1383,201
7,219,85,438,1,0.023529,2525,5600,18304,20308,14157,380,441,661,1332,1994,491,200,70,1392,211,1332,2615,1433,1673,3016,5600,5624,5516,2672,5600,1523,31489,31419,31740,1313,120837,152496,160591,348814,69290,611,521,321,1443,1032,120,441,110,1423,180,431,391,150,1423,181
7,219,85,438,1,0.023529,2465,5410,18184,20098,15288,440,461,611,1343,2415,481,201,71,1392,230,591,782,802,1663,2515,5600,5624,5516,2672,5600,1393,33513,30498,31048,4318,121097,159059,156103,357952,68298,461,501,140,1412,1052,110,611,220,1332,230,450,431,110,1383,171
7,219,85,438,1,0.023529,4569,4910,18315,19998,14607,420,310,691,1353,2044,461,201,70,1373,210,662,1542,2475,1593,2595,5600,5624,5516,2672,5600,1312,32211,31690,32310,4068,120236,155642,155342,353453,67947,451,562,210,1402,1122,90,491,131,1473,161,471,541,81,1423,190
8,292,292,1250,1,0.01466,7745,20118,63930,64381,40957,1834,1863,2234,4619,6893,1863,561,200,4599,581,2134,2895,2655,5330,3747,16172,16196,17872,9026,16172,4589,213561,69731,73177,4889,374763,553117,640932,1354781,305473,8346,4398,782,4659,4609,411,1944,471,4759,842,1904,2064,321,4568,491
8,292,292,1250,1,0.01466,7384,19878,59541,64300,48972,1793,1623,2294,4508,6873,1843,571,210,4568,571,2114,2755,2595,5100,3787,16172,16196,17872,9026,16172,4349,201628,66414,71755,4839,367029,583945,597701,1382543,350106,2003,4639,541,7744,4518,290,1813,431,4729,451,1773,1834,621,4578,471
8,292,292,1250,1,0.01466,7955,18916,60954,65914,46757,1513,1733,2304,4468,6853,1834,541,241,4589,572,2014,2826,2645,5190,3928,16172,16196,17872,9026,16172,4448,205445,68178,72396,4679,370455,555422,648687,1374729,321453,2114,2054,802,7525,4528,240,1814,321,4709,441,1754,1653,601,4709,471
8,292,292,1250,1,0.01466,7234,19546,61726,64761,42931,1714,1804,2295,4498,7144,1783,561,201,4578,571,2004,2745,2564,5170,3576,16172,16196,17872,9026,16172,4128,205466,67737,73328,5531,371116,624401,594535,1427017,320320,1613,2034,451,4719,4228,260,1303,491,4689,661,1804,1793,331,4669,471
8,292,292,1250,1,0.01466,9548,19116,61194,64811,41467,1784,1302,2354,4579,6893,1784,551,200,4568,561,2074,2925,2575,5050,3547,16172,16196,17872,9026,16172,4198,207309,68960,73488,5260,372819,559730,594405,1369398,318618,1983,1974,3257,4859,4318,230,1663,501,4719,431,1864,1413,280,4699,471
9,331,104,662,1,0.019231,3837,10550,27642,30557,22643,702,711,892,2104,2966,712,311,90,2134,321,901,1292,1233,11121,4268,8364,8388,7248,3527,8364,2244,61746,47970,50805,2304,145332,179267,353112,772719,121868,822,882,410,2214,1924,220,721,191,2144,421,701,811,150,2114,301
9,331,104,662,1,0.019231,6192,9608,26480,29746,21219,691,681,982,1963,2855,712,311,90,2084,311,871,1172,3396,15709,3897,8364,8388,7248,3527,8364,2154,53380,47529,48831,2094,156163,223609,212979,698340,221475,802,812,221,2104,1833,140,721,191,2104,270,702,742,271,2094,291
9,331,104,662,1,0.019231,3697,9117,26359,29606,21721,571,641,932,1984,2836,711,300,100,2094,301,1804,3587,2054,2475,3577,8364,8388,7248,3527,8364,2054,56446,48300,49764,1844,145653,180228,245120,689653,111800,701,772,200,2174,1463,150,762,140,2064,250,641,842,181,2064,260
9,331,104,662,1,0.019231,3727,9208,27101,29175,23594,601,662,922,1994,2886,682,301,80,2054,310,871,1202,1062,2535,3306,8364,8388,7248,3527,8364,1924,57899,48381,49743,6041,145944,228639,216296,721302,115156,851,722,150,2124,1572,130,602,171,2054,240,621,742,140,2034,281
9,331,104,662,1,0.019231,6562,8496,26469,28944,23214,651,531,932,2014,2886,661,300,80,2014,301,851,2094,3406,2434,3206,8364,8388,7248,3527,8364,1934,55484,48992,49954,5750,146995,181330,215734,706736,113212,751,762,220,2064,1693,140,731,161,2073,240,651,651,100,2044,270
10,608,188,1216,1,0.010638,6673,19306,49683,54783,40075,1292,1282,1653,3767,5320,1273,601,130,3917,561,1563,2134,2134,4659,6533,15348,15372,13160,6856,15348,3757,163056,84438,91242,3948,606858,747021,1323322,2712187,563888,1512,3066,431,3898,3277,241,1323,311,3917,421,1332,1422,250,3767,480
10,608,188,1216,1,0.010638,6652,18134,48511,55224,56035,1292,1142,1563,3667,5290,1242,531,161,4158,561,1573,2054,1983,4388,6212,15348,15372,13160,6856,15348,3607,153498,84709,87805,3606,607961,743615,767189,2433975,703359,1403,3346,421,5820,3186,221,1363,301,3907,430,1262,1403,371,3767,451
10,608,188,1216,1,0.010638,6513,17794,49213,55123,45005,1022,1222,1633,3757,5330,1203,571,140,3998,561,1503,2154,2064,4589,5490,15348,15372,13160,6856,15348,3486,154169,86092,89437,3026,609493,749566,921939,2419588,573506,1393,1513,491,5871,2645,250,1252,230,3807,430,1262,1293,351,3767,431
10,608,188,1216,1,0.010638,6522,18304,50394,54252,41338,1142,1202,1563,3687,5319,1242,531,140,3907,551,1433,1993,1873,4478,5941,15348,15372,13160,6856,15348,3527,158787,85090,88706,10911,611517,933942,772198,2571974,560481,1332,1553,371,3927,2835,220,901,311,3787,411,1223,1422,220,3797,451
10,608,188,1216,1,0.010638,7965,17062,49653,54592,40756,1172,972,1613,3837,5249,1262,562,141,3877,561,1503,2044,1983,4539,5350,15348,15372,13160,6856,15348,3437,154470,86542,90199,10199,613711,760065,771397,2411143,561172,1293,1433,2094,3877,3046,241,1292,291,3887,421,1222,1403,181,3777,441
11,85,85,304,1,0.042076,2014,5400,17703,18755,11802,431,421,601,1072,1734,471,160,81,1102,190,591,882,812,1333,4218,3992,4016,4980,2538,3992,1373,24636,17233,20739,1322,23935,34685,51236,81102,24205,531,551,170,1222,1322,150,471,120,1132,210,471,501,121,1102,171
11,85,85,304,1,0.042076,3737,5070,16500,17824,10069,411,381,611,1022,1674,460,150,80,1052,191,551,751,702,1182,2464,3992,4016,4980,2538,3992,1223,20488,19246,20409,1173,23594,34505,35697,86853,35868,460,491,191,1202,1182,150,401,120,1152,221,411,430,240,1032,160
11,85,85,304,1,0.042076,1924,4439,16160,17553,10139,291,340,531,1021,1673,371,160,80,1052,151,461,681,642,1323,2385,3992,4016,4980,2538,3992,1162,21049,17272,19667,1092,17593,30497,45715,86241,18385,431,441,150,1132,1152,81,341,110,1032,130,340,321,130,1062,151
11,85,85,304,1,0.042076,1964,4538,17423,18004,11842,310,370,501,1041,1733,361,151,70,1012,170,451,581,621,1292,2114,3992,4016,4980,2538,3992,972,20969,17643,18415,2775,17774,38602,35076,97333,18104,300,371,120,1122,1072,80,350,130,1122,552,341,341,110,1002,151
11,85,85,304,1,0.042076,2945,3747,16892,18084,11261,301,350,591,1102,1714,360,140,60,1022,180,491,571,591,1252,2124,3992,4016,4980,2538,3992,1002,21039,18916,19507,2745,18034,31388,35196,87103,17934,281,350,171,1052,1021,70,330,130,1082,130,350,321,80,1032,141
12,958,292,1916,1,0.006849,10059,25648,70783,79179,60353,1933,2004,2535,5610,8105,1953,832,210,5831,861,2335,3196,3226,7163,4629,24164,24188,20536,11064,24164,5691,352872,134302,141866,6212,1505594,1828710,3292416,6774607,1391821,2214,4598,721,5811,4929,792,2024,481,5851,1002,1964,2184,350,5701,691
12,958,292,1916,1,0.006849,16161,25077,70021,78307,83918,1954,1874,2685,5530,8065,1924,821,250,5730,851,2344,3196,2996,6832,4619,24164,24188,20536,11064,24164,5611,328366,130996,135574,5871,1500124,1828589,1841614,5965800,1921594,2364,4959,561,8836,4799,340,2043,491,5821,651,1904,2144,601,5580,661
12,958,292,1916,1,0.006849,10260,24827,70913,79729,68338,1623,1893,2504,5631,8126,2004,822,211,5821,852,2255,3346,3076,7234,4819,24164,24188,20536,11064,24164,5550,339537,139342,137628,6102,1519340,1837456,2203332,5958496,1374699,2234,2355,742,8736,4288,351,1953,351,5801,682,1914,2054,621,5670,671
12,958,292,1916,1,0.006849,9819,26970,72065,78718,62628,1924,2014,2565,5570,8316,1924,832,220,5771,852,2214,3155,2805,7003,4819,24164,24188,20536,11064,24164,5280,344396,130435,134652,17012,1502238,2312337,1839040,6301048,1408031,1954,2305,621,5991,4559,341,2104,581,5650,811,1864,2104,421,5611,661
12,958,292,1916,1,0.006849,12143,24296,70833,79318,61645,1854,1503,2465,5651,8155,1883,822,191,5771,842,2174,3176,2866,6993,4709,24164,24188,20536,11064,24164,5240,339086,132408,137929,15579,1496086,1836805,1833990,5943929,1386691,2084,2244,3056,5881,4709,331,2004,621,5841,642,1864,2244,291,5681,651
13,39,39,85,1,0.055884,1573,2515,12884,14387,6803,321,390,561,762,1322,321,110,90,741,150,612,682,551,1083,1944,1180,1204,2080,1123,1180,901,8656,12072,9968,842,5661,4889,14547,14808,4148,411,401,151,642,762,100,281,110,731,91,380,331,110,812,150
13,39,39,85,1,0.055884,1563,2415,11762,12624,6652,330,321,421,671,1022,290,121,90,681,160,390,621,511,831,1513,1180,1204,2080,1123,1180,791,7845,11111,12904,561,4509,6722,10810,19457,11461,360,401,140,751,882,90,320,120,691,110,300,351,120,731,141
13,39,39,85,1,0.055884,1262,2034,11171,12052,6031,160,260,311,561,992,180,80,81,621,110,280,381,441,791,1223,1180,1204,2080,1123,1180,611,7735,12734,12063,491,4779,5951,12514,19256,5560,281,281,130,711,741,70,231,100,601,70,221,261,141,661,120
13,39,39,85,1,0.055884,1142,2044,10670,11833,6903,150,210,320,541,952,191,90,100,521,141,260,300,391,631,1052,1180,1204,2080,1123,1180,662,7894,11472,11802,601,4789,10029,9518,22462,4068,220,220,110,631,671,70,170,120,571,80,180,300,100,551,120
13,39,39,85,1,0.055884,1092,1633,9769,11451,6082,140,141,220,521,842,170,110,70,551,131,221,321,351,712,1012,1180,1204,2080,1123,1180,601,7024,11241,11381,521,4739,5991,9387,19186,3868,210,220,130,611,672,70,161,100,571,101,170,221,90,561,90
14,49,49,108,1,0.044981,1112,2855,11431,12413,5711,451,411,591,811,1142,451,110,71,811,120,571,711,671,1032,2615,1496,1520,2612,1406,1496,1132,12373,10970,12553,801,7794,8366,17142,22873,7033,431,521,130,851,992,70,401,100,811,70,431,381,100,792,120
14,49,49,108,1,0.044981,861,2164,7654,8656,4408,260,250,341,511,841,261,80,61,581,70,301,471,381,631,1142,1496,1520,2612,1406,1496,682,7875,8136,12524,380,5821,7615,8786,17873,13185,421,321,151,551,641,60,290,80,731,90,230,251,80,511,90
14,49,49,108,1,0.044981,811,1342,7764,8436,3877,151,180,230,481,721,160,90,60,440,80,211,421,321,561,1062,1496,1520,2612,1406,1496,501,7635,8156,9177,341,3988,5530,12142,17422,3546,211,200,81,521,491,60,160,90,531,50,191,290,80,461,60
14,49,49,108,1,0.044981,931,1283,7884,8867,5040,140,180,240,430,721,150,60,50,451,60,170,301,280,491,922,1496,1520,2612,1406,1496,471,5891,8997,8816,491,4067,11952,8496,21260,3426,120,170,80,471,421,50,120,80,461,50,131,190,80,401,70
14,49,49,108,1,0.044981,841,1192,7924,8506,4238,120,130,161,431,631,150,70,40,451,60,170,231,211,511,781,1496,1520,2612,1406,1496,431,5490,9367,9298,351,4008,5641,8466,17573,3577,110,150,100,430,441,50,141,81,471,60,110,231,60,421,60
15,118,118,297,1,0.02133,2244,6873,19917,22262,11282,561,561,741,1242,2254,1072,160,90,1352,170,702,952,1333,1523,4669,4040,4064,6404,3389,4040,2144,26159,23163,25007,1543,29235,35216,112070,163276,46788,621,842,230,1683,2044,161,571,160,1353,210,632,541,170,1252,171
15,118,118,297,1,0.02133,4669,4689,18975,21250,9778,501,421,642,1193,2104,511,170,100,1273,160,621,901,841,1383,2615,4040,4064,6404,3389,4040,1433,23034,22582,24305,1152,46257,63038,98675,144341,58670,491,601,291,1332,1503,150,510,190,1212,140,551,480,190,1202,161
15,118,118,297,1,0.02133,2154,4518,19246,21380,10048,340,481,671,1172,2054,451,150,100,1232,160,691,912,802,1553,2695,4040,4064,6404,3389,4040,1472,24026,20959,24426,1083,46778,62578,87875,142477,43923,491,551,240,1333,1172,81,541,150,1233,121,491,361,210,1252,170
15,118,118,297,1,0.02133,2104,4237,19527,20839,11782,431,471,651,1173,2315,451,150,100,1202,161,491,661,741,1443,2284,4040,4064,6404,3389,4040,1172,25788,21891,23624,5029,44914,80260,78949,152766,43932,691,501,170,1302,1303,80,381,170,1202,230,411,361,150,1172,160
15,118,118,297,1,0.02133,5029,3647,19056,20609,11582,360,291,591,1203,1984,430,151,100,1273,160,561,711,831,1432,2375,4040,4064,6404,3389,4040,1152,24185,23564,24316,4779,44273,63559,78777,145764,43181,360,470,231,1212,1382,80,461,190,1243,130,411,430,130,1193,150
16,274,274,943,1,0.012561,5119,14537,53470,59912,32551,1833,1733,2244,3977,6031,1804,441,240,4087,441,2164,2705,2575,4338,3486,12416,12440,15852,8130,12416,4278,142888,58259,63509,4689,296627,450555,555532,1028409,256311,2404,4618,651,4168,4529,411,1804,441,4038,621,1844,1954,321,3988,381
16,274,274,943,1,0.012561,5841,14066,53160,60243,40516,1783,1482,2144,3878,5851,1773,431,210,3987,451,2004,2675,2535,4288,3446,12416,12440,15852,8130,12416,4268,138069,58911,62877,4478,293971,504797,499116,1013982,312035,1974,3908,621,4228,4499,190,1693,381,4048,350,1773,1763,601,3988,400
16,274,274,943,1,0.012561,6422,13936,50685,61165,37971,1383,1643,2244,4068,5861,1653,461,210,4028,441,1954,3056,2485,4488,2996,12416,12440,15852,8130,12416,4238,136827,58850,63579,3717,296937,453651,564298,1033388,270077,1893,1904,651,6753,3607,181,1643,311,4067,361,1623,1664,561,4057,371
16,274,274,943,1,0.012561,5180,14086,51166,59952,33092,1653,1673,2244,3948,6042,1683,431,301,4028,431,1874,2534,2405,4388,2995,12416,12440,15852,8130,12416,3957,136827,58189,61946,13876,300283,517431,503905,1091707,271400,1793,1893,440,4118,4078,190,1613,410,4138,490,1623,1633,320,3928,351
16,274,274,943,1,0.012561,7404,12674,50986,59912,32150,1623,1132,2204,3958,5741,1703,421,220,4048,440,1994,2585,2435,4228,3066,12416,12440,15852,8130,12416,3987,138700,60082,64161,12914,296727,453410,503454,1026505,272631,1593,1844,3417,4047,4248,191,1563,461,4168,340,1724,1383,260,4117,351
17,443,443,1033,1,0.005264,6011,15589,65644,76333,33213,2454,2375,2966,5160,7474,2494,460,310,5250,461,2815,3537,3417,5791,4559,14172,14196,23648,13183,14172,5550,206888,74580,83206,6162,672021,1090866,1418280,1990743,671099,11501,6492,892,5511,5781,280,2474,642,5360,591,2495,2505,501,5210,390
17,443,443,1033,1,0.005264,6612,14968,62928,76533,50916,5721,1943,2865,5260,7494,2355,451,321,5150,450,2595,3266,3216,18244,4168,14172,14196,23648,13183,14172,5500,196198,75301,81363,5391,672230,1109922,1234976,2012485,796213,2084,6392,721,5510,5520,191,2415,591,5180,351,2304,2274,801,5250,380
17,443,443,1033,1,0.005264,8065,14928,63489,79720,40726,1914,2354,3016,5260,7554,2374,471,301,5220,471,2675,3526,3266,5620,3417,14172,14196,23648,13183,14172,5310,201999,76324,82945,5300,680176,1091928,1334634,2046648,699462,2545,2545,862,8536,5280,211,2275,471,5370,350,2265,1913,851,5319,401
17,443,443,1033,1,0.005264,6292,15148,67757,77525,33893,2354,2325,2956,5230,7795,2294,450,311,5159,471,2485,3416,3026,5711,3537,14172,14196,23648,13183,14172,5140,221315,72947,82184,18785,683662,1192517,1255425,2124906,716695,2665,2545,671,5400,5420,200,1733,541,5189,581,2325,2284,471,5150,371
17,443,443,1033,1,0.005264,10640,15128,65123,78728,38222,2305,1663,3016,5551,7775,2485,461,360,5240,481,2785,3477,3296,5861,4198,14172,14196,23648,13183,14172,5540,210124,78097,84799,18584,707387,1111244,1267307,2079150,719189,2454,2675,5029,5420,5780,200,2264,571,5621,361,2465,2495,420,5320,401
