Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSC Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSC InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSC Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSC Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSC Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSC Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSC Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSC Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSC Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSC Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time
126,492,492,1824,1,0.007535,15629,25097,87354,104776,73177,1784,1703,2284,5761,8716,1663,811,371,5761,812,2084,2975,2966,6653,4208,23860,23884,28968,15796,23860,4999,437841,96070,101611,6412,1013261,1629386,1719345,3525573,1136783,1903,5290,811,9948,5230,341,1894,642,5962,621,1763,1883,922,5902,651
126,492,492,1824,1,0.007535,10440,24135,88055,104977,69280,1563,1783,2224,5841,8706,1753,812,351,5831,822,1973,3096,2986,6712,3978,23860,23884,28968,15796,23860,4899,441107,95810,102703,5691,991129,1591074,1850611,3524511,1032046,1783,2204,1062,9568,4768,321,1773,571,6021,622,1734,1633,852,5951,621
126,492,492,1824,1,0.007535,10239,24826,96802,104426,61726,1714,1744,2334,5861,8847,1734,811,411,5780,812,2114,2755,2775,6733,3957,23860,23884,28968,15796,23860,4639,444314,96461,103233,6272,998203,1740995,1709045,3681585,1028840,1753,2164,751,5771,4949,321,1673,621,5861,781,1804,1883,531,5791,641
126,492,492,1824,1,0.007535,13826,23935,90690,98054,61375,1634,1413,2265,6041,8596,1653,801,351,5730,822,1994,2855,2856,6793,4007,23860,23884,28968,15796,23860,4679,439946,100007,103905,20298,987873,1602706,1698747,3531364,1026616,1843,2164,5180,5791,5160,320,1683,762,5971,621,1763,1533,471,6011,651
127,503,503,3265,1,0.012905,14458,46307,127018,135685,103555,2404,2495,2965,8797,12293,2194,1332,351,8436,1363,2946,3878,3847,10520,5871,41196,41220,35216,18112,41196,6733,895900,121027,129813,10139,1300590,2177685,2427643,5590516,1206473,2695,7073,1052,8396,6462,1192,2445,741,8927,1613,2444,2535,631,8846,1062
127,503,503,3265,1,0.012905,15168,41698,120416,131897,112842,2404,2314,3155,8757,12212,2214,1333,351,8416,1362,2665,3997,3727,10429,5741,41196,41220,35216,18112,41196,7003,888436,121758,128662,9729,1310188,2210076,2279295,5663072,1321428,2524,7674,842,8456,6161,541,2465,642,8806,1032,2355,2585,1052,8816,1042
127,503,503,3265,1,0.012905,14978,42008,119414,133911,112722,2214,2375,2995,8656,12293,2154,1353,361,8596,1363,3066,4128,3667,10480,5650,41196,41220,35216,18112,41196,6883,880131,123111,129353,9067,1315477,2205576,2418115,5634619,1216622,2254,3297,1303,12203,5641,541,2385,581,9027,1032,2404,2364,952,8887,1072
127,503,503,3265,1,0.012905,14458,43262,118051,132890,101159,2425,2444,3096,8676,12473,2194,1342,391,8456,1372,2615,3787,3477,10510,5441,41196,41220,35216,18112,41196,6692,887094,121638,132078,9959,1322471,2333367,2300855,5779981,1238623,2104,3267,892,8686,5971,641,2394,852,8877,1343,2394,2565,511,8777,1052
127,503,503,3265,1,0.012905,19406,41298,115306,133050,98655,2344,2244,2926,8616,12023,2184,1333,341,8546,1373,2715,3867,3547,10620,5540,41196,41220,35216,18112,41196,7133,874220,123432,130705,9648,1304096,2199917,2280618,5669163,1212424,2495,3296,1152,8516,6181,531,2414,872,8966,1052,2354,2365,471,8977,1062
128,512,512,2007,1,0.007656,10380,26660,92223,94236,60493,2204,2214,2706,6281,9558,2244,841,361,6162,861,2545,3476,3537,7364,4899,26136,26160,30580,16554,26136,5761,514455,104947,104697,6943,1071850,2219553,2483358,4287432,2309091,12794,6633,1032,6292,6011,671,2365,742,6512,901,2335,2364,571,6312,691
