Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF1 Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSF1 InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSF1 Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF1 Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSF1 Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSF1 Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSF1 Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSF1 Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSF1 Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSF1 Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,40444,66041,365561,492054,136470,10710,10910,11841,23052,28342,9307,1824,9097,22802,1893,9978,13685,12303,25477,16410,21468,21492,46236,29959,21468,17903,1266588,370141,425642,115312,187985,6446816,7548110,13714883,205177,9938,9868,9798,23253,22401,70,50,50,22421,50,9788,9657,8716,23393,1573,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,54480,63918,368837,500620,142712,10649,11141,12022,22912,28001,9287,1834,8897,23323,1884,9908,13405,13185,25797,16891,21468,21492,46236,29959,21468,20167,1203702,448374,446220,116203,180251,6383070,7499622,13523801,223911,10309,10479,25317,23313,23614,70,50,50,22972,320,10189,8665,8285,23904,1733,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,52116,100255,450658,663159,188376,13364,13705,14216,27951,35635,11121,2284,10900,28262,2344,12022,16230,18955,29775,24374,26348,26372,53212,34989,26348,31067,1705955,570688,573003,33111,247946,6987761,9419028,16400026,323705,53388,14307,12253,35254,27221,70,50,50,29424,70,11611,11841,12523,28272,2294,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,141801,78544,447352,662086,305672,13314,13555,14046,27791,35445,11411,2274,10910,27912,2344,11822,16601,15188,32189,20508,26348,26372,53212,34989,26348,20177,1689565,464544,511300,32109,226496,7233772,8136101,16711199,320729,12563,25507,11511,43570,26439,80,50,50,27851,60,12022,11952,11050,28252,2034,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,54220,77643,484450,618686,201490,13265,13435,14146,27471,35245,10880,2254,10660,27781,2324,11852,16189,15389,30096,21921,26348,26372,53212,34989,26348,19416,1653879,437684,589313,27631,251181,6971541,8638173,16544723,324506,12213,11892,13575,43440,26048,71,50,50,27110,80,11642,11712,10739,28402,1884,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,49681,77663,455768,628315,172146,13334,13595,14287,27761,35876,11230,4468,10850,28272,2344,12413,15769,17622,30726,21499,26348,26372,53212,34989,26348,22863,1752220,449175,550582,137983,243777,7578897,8427897,17094703,325398,11831,11581,11421,28823,31769,80,60,50,36738,50,12894,11712,10680,28221,2104,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,63026,77382,461388,624157,179300,13354,14377,14778,27821,35846,11121,2285,11291,28552,2334,11711,17131,14837,29484,19837,26348,26372,53212,34989,26348,24355,1690226,451109,538089,136310,248527,7296438,8092280,16417419,325007,12593,15819,28412,34964,35585,80,50,60,27290,291,11812,11792,10520,29133,2374,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,31699,74927,155886,176164,165574,11802,12654,11872,12744,18244,4038,2054,451,13665,2133,4288,6272,6502,14847,29625,19392,19416,13996,6409,19392,10950,638182,223441,233479,12353,212039,1140236,1907976,4954253,289191,14767,5600,1563,13565,9597,80,60,60,12803,61,4128,4057,611,13906,2204,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,35455,66713,157610,186423,190800,12533,12564,12613,13274,17803,4248,2194,481,14276,2063,4508,6162,6122,15689,29404,19392,19416,13996,6409,19392,8966,603670,229622,232988,12823,255330,1530372,1280183,4230674,303067,3817,10880,1232,19095,9437,61,60,60,13625,70,4227,4358,1072,13985,1833,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,30807,55402,136000,161627,145938,10460,10459,10490,11301,14677,3757,1803,410,11972,1903,3787,5410,5069,13846,24125,19392,19416,13996,6409,19392,7534,510919,194066,198435,11101,186683,1090164,1578140,4035135,256301,3236,4398,1643,15319,7554,80,50,50,11452,50,3566,3496,721,11582,1714,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,28853,55402,135148,155656,136721,10480,10489,10469,11341,14997,3376,1803,421,11992,1854,3837,4959,4769,13205,22060,19392,19416,13996,6409,19392,7604,547356,199407,192945,12283,210517,1238295,1065989,4072534,254668,3225,4528,952,11150,7153,81,50,61,12623,50,3346,3537,671,11552,1443,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,48559,53228,136030,156007,229873,10679,13465,10479,11471,14657,3386,1823,411,12162,1843,3897,5119,5760,13114,23142,19392,19416,13996,6409,19392,8746,512662,194858,217470,12172,184269,967468,1044269,3854573,245992,6462,4579,5180,11421,8035,80,50,50,11431,70,3507,3326,461,11622,1463,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,30576,56173,421004,613407,134588,10349,10409,10490,15859,12343,3036,1834,2434,16460,1573,4177,5500,7163,17262,18394,15908,15932,22404,14296,12968,8756,384627,275937,317754,9517,863356,456138,553777,1947439,697282,14276,6191,3987,16801,7023,91,61,60,15769,100,3627,3407,3045,16180,1553,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,85718,56032,415073,641909,177757,10359,10400,10519,15829,12092,3015,1824,2414,16370,1552,3387,4338,6452,17843,19646,15908,15932,22404,14296,12968,7524,359180,265197,325137,9578,747754,406807,449787,1856822,859519,3035,7984,3306,24885,6953,91,60,60,21149,70,3386,3357,3186,16030,1232,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,31608,55252,417346,621041,142001,10329,10329,10359,15729,12503,2935,1834,2345,16481,1533,3526,4809,6362,17412,17772,15908,15932,22404,14296,12968,6141,358119,264697,323695,8496,861873,469102,549209,1930478,676673,2896,5651,3787,18123,6221,90,71,60,15428,70,3436,3316,3266,16591,1243,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,31749,80277,470464,621222,153432,10339,10409,10829,16089,12272,2996,1803,2274,16651,1593,3607,4448,6402,18574,19065,15908,15932,22404,14296,12968,7474,404443,306543,320399,26148,755749,521649,455547,2089119,661205,3236,5951,3286,16190,8065,90,60,60,16099,60,3707,3226,2916,17181,1313,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,37930,54000,388644,740240,134989,10379,10369,10469,13415,10209,2525,1833,2014,16651,3817,6301,4168,6703,14396,35165,15908,15932,22404,14296,12968,8255,318646,261881,289883,16731,634957,400846,383014,1574964,713151,3156,6202,9928,16150,7133,70,51,60,13305,61,3156,3316,2494,13314,1363,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,9798,21439,63347,71441,48329,3606,3636,3726,4579,6682,1893,691,311,5230,731,2354,3506,3316,25186,10530,5600,5624,5516,2672,5600,5941,117937,101827,108259,5920,87941,261902,563806,1174658,112247,2063,2385,582,5029,5150,81,60,61,5019,60,2304,2174,380,4829,821,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,16470,29254,60972,69668,47898,3637,3747,3706,4589,6502,2565,661,260,5009,721,2063,2795,8335,33792,10730,5600,5624,5516,2672,5600,3677,148513,102088,160625,5450,96137,406126,277200,945237,122655,1903,2114,531,4698,4629,80,61,60,4819,70,2073,2194,461,4769,621,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,10429,18594,60301,68987,46816,3587,3606,3667,4488,6232,1733,691,261,4979,692,4568,8225,4348,5370,10159,5600,5624,5516,2672,5600,2955,106115,102468,104482,5019,96808,253586,369399,929188,101927,1733,1924,671,4789,3616,90,60,61,4749,70,1653,1472,411,4608,601,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,10238,18193,62364,68245,51004,3597,3597,3626,4518,6332,1713,641,260,4899,701,1923,2485,2695,5290,8746,5600,5624,5516,2672,5600,3476,110603,99803,102518,15097,83704,335085,278702,1038338,101317,2355,1683,411,4658,5240,80,60,60,8065,70,1653,1843,390,4629,792,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,17311,17543,61813,86839,75529,3617,3667,3656,4849,6401,1833,1613,271,5000,741,2214,5180,8185,5349,8596,5600,5624,5516,2672,5600,4538,108540,104301,105804,13615,93982,260539,314338,925521,98551,1854,1743,511,4729,4388,90,60,60,4939,70,2154,2424,311,4598,621,
8.000000, 292.000000, 292.000000, 1250.000000, 0.733427, 0.014660,29484,63977,195019,204376,129858,10128,10188,10249,14777,29494,6172,1794,721,15158,1853,7574,11010,9167,16541,12303,16172,16196,17872,9026,16172,15408,770076,223671,235303,17151,155395,1727244,1788677,4879427,258575,27821,6702,2925,15138,15057,80,60,60,14647,60,6803,6643,1022,15068,1943,
8.000000, 292.000000, 292.000000, 1250.000000, 0.733427, 0.014660,31859,92230,271008,206519,255460,10139,10990,11011,20397,20949,8225,1793,722,15157,1844,6602,9127,8766,22993,13615,16172,16196,17872,9026,16172,14657,706388,238268,342109,17693,229271,1956906,1815015,4293550,287188,6532,15138,3948,32810,15068,120,60,60,21630,70,6802,6522,2294,15278,1713,
8.000000, 292.000000, 292.000000, 1250.000000, 0.733427, 0.014660,27580,51544,157480,173188,122485,8426,8435,8486,12052,17513,6221,1482,591,12573,1563,5279,7764,7263,14276,10619,16172,16196,17872,9026,16172,7013,568916,178739,192053,14487,129287,1690327,1962196,3544814,197853,5520,5260,2945,21810,10850,90,50,50,12292,50,5440,4939,1222,12643,1333,
8.000000, 292.000000, 292.000000, 1250.000000, 0.733427, 0.014660,26749,51985,156969,173910,110804,8405,8446,8425,12263,17442,5019,1462,591,12583,1493,5260,7344,6953,13554,9848,16172,16196,17872,9026,16172,9918,541225,177686,191071,14707,137512,1511237,1509214,3707272,197182,5279,5520,1182,12753,12012,70,50,50,12392,50,5480,5259,911,12953,1172,
8.000000, 292.000000, 292.000000, 1250.000000, 0.733427, 0.014660,29625,50202,156518,174090,109792,8405,8466,8475,12303,17442,4899,1473,601,12693,1453,5170,7574,7293,13324,9728,16172,16196,17872,9026,16172,10269,547185,180291,191922,14286,164252,1363746,1526385,3542750,191622,5270,6462,7784,12353,12594,80,50,61,12222,70,5480,4448,802,12793,1252,
9.000000, 331.000000, 104.000000, 662.000000, 0.830654, 0.019231,14767,33652,86790,98902,72693,5399,5410,5500,6802,8897,2355,992,381,7174,1052,3025,4018,4058,35736,13094,8364,8388,7248,3527,8364,7113,193726,154474,163701,7895,145908,567703,1248364,2773627,187575,2665,2875,742,7173,6252,101,60,60,6872,60,2965,2665,451,6953,1072,
