Matrix Number, Sparsity, Redundancy, CSF1 Size, CSF2 Size, CSF3 Size
0, 1, 1, 8004028, 4040024, 1022024
1, 1, 2, 8004028, 4048024, 1028024
2, 1, 3, 8004028, 4056024, 1034024
3, 1, 4, 8004028, 4064024, 1040024
4, 1, 5, 8004028, 4072024, 1046024
5, 1, 6, 8004028, 4080024, 1052024
6, 1, 7, 8004028, 4088024, 1058024
7, 1, 8, 8004028, 4096024, 1064024
8, 1, 9, 8004028, 4104024, 1070024
9, 1, 10, 8004028, 4112024, 1076024
10, 1, 11, 8004028, 4120024, 1082024
11, 1, 12, 8004028, 4128024, 1088024
12, 1, 13, 8004028, 4136024, 1094024
13, 1, 14, 8004028, 4144024, 1100024
14, 1, 15, 8004028, 4152024, 1106024
15, 1, 16, 8004028, 4160024, 1112024
16, 1, 17, 8004028, 4168024, 1118024
17, 1, 18, 8004028, 4176024, 1124075
18, 1, 19, 8004028, 4184024, 1130024
19, 1, 20, 8004028, 4192024, 1136161
20, 1, 21, 8004028, 4200024, 1142057
21, 1, 22, 8004028, 4208024, 1148241
22, 1, 23, 8004028, 4216024, 1154279
23, 1, 24, 8004028, 4224024, 1160546
24, 1, 25, 8004028, 4232024, 1166755
25, 1, 26, 8004028, 4240024, 1172870
26, 1, 27, 8004028, 4248024, 1179646
27, 1, 28, 8004028, 4256024, 1185984
28, 1, 29, 8004028, 4264024, 1192638
29, 1, 30, 8004028, 4272024, 1199829
30, 1, 31, 8004028, 4280024, 1206469
31, 1, 32, 8004028, 4288024, 1213815
32, 1, 33, 8004028, 4296024, 1220990
33, 1, 34, 8004028, 4304024, 1229747
34, 1, 35, 8004028, 4312024, 1237034
35, 1, 36, 8004028, 4320024, 1244755
36, 1, 37, 8004028, 4328024, 1252172
37, 1, 38, 8004028, 4336024, 1261912
38, 1, 39, 8004028, 4344024, 1270522
39, 1, 40, 8004028, 4352024, 1279873
40, 1, 41, 8004028, 4360024, 1289341
41, 1, 42, 8004028, 4368024, 1300213
42, 1, 43, 8004028, 4376024, 1309837
43, 1, 44, 8004028, 4384024, 1320530
44, 1, 45, 8004028, 4392024, 1329654
45, 1, 46, 8004028, 4400024, 1342778
46, 1, 47, 8004028, 4408024, 1352411
47, 1, 48, 8004028, 4416024, 1363509
48, 1, 49, 8004028, 4424024, 1375358
49, 1, 50, 8004028, 4432024, 1387510
50, 1, 51, 8004028, 4440024, 1397864
51, 1, 52, 8004028, 4448024, 1411984
52, 1, 53, 8004028, 4456024, 1425780
53, 1, 54, 8004028, 4464024, 1436992
54, 1, 55, 8004028, 4472024, 1450666
55, 1, 56, 8004028, 4480024, 1461548
56, 1, 57, 8004028, 4488024, 1478269
57, 1, 58, 8004028, 4496024, 1491361
58, 1, 59, 8004028, 4504024, 1503226
59, 1, 60, 8004028, 4512024, 1518716
60, 1, 61, 8004028, 4520024, 1533284
61, 1, 62, 8004028, 4528024, 1549251
62, 1, 63, 8004028, 4536024, 1561285
63, 1, 64, 8004028, 4544024, 1575726
64, 1, 65, 8004028, 4552024, 1591014
65, 1, 66, 8004028, 4560016, 1605442
66, 1, 67, 8004028, 4568024, 1619842
67, 1, 68, 8004028, 4576024, 1634201
68, 1, 69, 8004028, 4584024, 1649095
69, 1, 70, 8004028, 4592024, 1667049
70, 1, 71, 8004028, 4600024, 1680584
71, 1, 72, 8004028, 4608024, 1694090
72, 1, 73, 8004028, 4616024, 1708807
73, 1, 74, 8004028, 4624024, 1722275
74, 1, 75, 8004028, 4632024, 1739459
75, 1, 76, 8004028, 4640016, 1753900
76, 1, 77, 8004028, 4648016, 1766832
77, 1, 78, 8004028, 4656024, 1780860
78, 1, 79, 8004028, 4664024, 1798434
79, 1, 80, 8004028, 4672024, 1813599
80, 1, 81, 8004028, 4680024, 1827320
81, 1, 82, 8004028, 4688016, 1845887
82, 1, 83, 8004028, 4696016, 1857021
83, 1, 84, 8004028, 4704016, 1873578
84, 1, 85, 8004028, 4712016, 1889057
85, 1, 86, 8004028, 4720024, 1903549
86, 1, 87, 8004028, 4728024, 1914831
87, 1, 88, 8004028, 4736024, 1933912
88, 1, 89, 8004028, 4744016, 1945546
89, 1, 90, 8004028, 4752024, 1961837
90, 1, 91, 8004028, 4760024, 1973365
91, 1, 92, 8004028, 4768000, 1991660
92, 1, 93, 8004028, 4776016, 2005680
93, 1, 94, 8004028, 4784000, 2019621
94, 1, 95, 8004028, 4792024, 2033266
95, 1, 96, 8004028, 4800008, 2048946
96, 1, 97, 8004028, 4808016, 2060652
97, 1, 98, 8004028, 4816008, 2074955
98, 1, 99, 8004028, 4824008, 2088908
99, 1, 100, 8004028, 4831968, 2100758
100, 2, 1, 4004044, 2040032, 522026
101, 2, 2, 4004052, 2048036, 528027
102, 2, 3, 4004060, 2056040, 534028
103, 2, 4, 4004060, 2064040, 540028
104, 2, 5, 4004076, 2072048, 546030
105, 2, 6, 4004052, 2080036, 552027
106, 2, 7, 4004076, 2088048, 558030
107, 2, 8, 4004076, 2096048, 564030
108, 2, 9, 4004076, 2104048, 570030
109, 2, 10, 4004052, 2112036, 576114
110, 2, 11, 4004036, 2120028, 582089
111, 2, 12, 4004052, 2128036, 588205
112, 2, 13, 4004012, 2136016, 594422
113, 2, 14, 4004044, 2144032, 600978
114, 2, 15, 4004004, 2152012, 608004
115, 2, 16, 4004028, 2160024, 615222
116, 2, 17, 4003996, 2168008, 623378
117, 2, 18, 4004012, 2176016, 631333
118, 2, 19, 4003988, 2184004, 639643
119, 2, 20, 4004004, 2192012, 649314
120, 2, 21, 4003972, 2199996, 659395
121, 2, 22, 4004004, 2208012, 668645
122, 2, 23, 4003980, 2216000, 680576
123, 2, 24, 4003980, 2224000, 692592
124, 2, 25, 4003980, 2232000, 706163
125, 2, 26, 4004028, 2240024, 716812
126, 2, 27, 4004012, 2248016, 728350
127, 2, 28, 4004012, 2256016, 742835
128, 2, 29, 4004044, 2264032, 757436
129, 2, 30, 4004028, 2272024, 771569
130, 2, 31, 4004044, 2280032, 787793
131, 2, 32, 4004044, 2288032, 801606
132, 2, 33, 4004044, 2296032, 817415
133, 2, 34, 4004060, 2304040, 830133
134, 2, 35, 4004060, 2312040, 843952
135, 2, 36, 4004060, 2320040, 858986
136, 2, 37, 4004076, 2328048, 875470
137, 2, 38, 4004060, 2336040, 888878
138, 2, 39, 4004076, 2344048, 905303
139, 2, 40, 4004076, 2352048, 925172
140, 2, 41, 4004076, 2360048, 936106
141, 2, 42, 4004036, 2368028, 950943
142, 2, 43, 4004052, 2376036, 966592
