Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSF1 Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSF1 InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSF1 Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSF1 Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSF1 Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSF1 Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSF1 Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSF1 Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSF1 Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSF1 Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
13.000000, 39.000000, 39.000000, 85.000000, 0.405128, 0.055884,1680,2460,16480,11900,5800,320,360,480,600,1100,260,140,100,660,140,460,900,740,1060,2100,1180,1204,2080,1123,1180,920,4660,11980,13740,920,5600,7300,12920,25840,7700,360,400,260,680,880,140,360,140,680,100,300,340,140,700,220,
14.000000, 49.000000, 49.000000, 108.000000, 0.403061, 0.044981,2520,3040,11940,19940,8180,480,440,800,760,1520,440,160,100,900,140,600,980,1020,1440,3200,1496,1520,2612,1406,1496,1460,6400,16060,16940,2760,7660,25500,20700,28220,10420,560,620,320,1020,1340,140,500,180,940,100,440,500,160,820,280,
15.000000, 118.000000, 118.000000, 297.000000, 0.528672, 0.021330,8180,9600,43160,43640,30980,880,1040,1860,1980,4020,720,220,380,2020,300,1280,2060,2060,3180,7080,4040,4064,6404,3389,4040,2940,14960,56780,50120,6200,108160,144500,187140,353240,110700,900,1220,1180,2340,2900,300,960,1180,2280,320,860,980,600,2420,460,
16.000000, 274.000000, 274.000000, 943.000000, 0.529807, 0.012561,19680,19840,86160,103380,53340,6260,2940,5400,4960,10020,2600,440,380,7800,700,2980,3920,4560,6560,6860,12416,12440,15852,8130,12416,7340,25400,140140,117040,9700,657840,1133680,1551860,1742120,718760,2820,8540,3960,6600,7900,620,2860,2320,6100,1300,2720,2600,1920,5780,1180,
17.000000, 443.000000, 443.000000, 1033.000000, 0.424952, 0.005264,18860,25780,188200,142700,81360,3440,4220,7820,7580,14340,7600,620,880,11700,660,3900,5140,6740,9260,10840,14172,14196,23648,13183,14172,10080,34820,154440,169140,17580,1621680,2516440,3747380,3876740,2071680,6460,6120,5140,10020,9200,740,3860,5000,7880,1300,3860,3520,3380,8320,1240,
18.000000, 1454.000000, 1454.000000, 3377.000000, 0.423182, 0.001597,53240,100100,472580,362680,266780,10680,11760,25260,23640,48620,16920,1580,2620,23220,2500,15660,18980,20160,30940,23160,46344,46368,77508,45239,46344,25320,90640,484740,637580,30780,17511520,21548820,36944420,41864580,19744500,18560,22160,15860,43420,37800,2480,12860,15500,35720,3040,10300,15880,8140,27880,3100,
19.000000, 1612.000000, 1612.000000, 3718.000000, 0.411681, 0.001431,56660,90440,438480,372500,255640,17060,12320,25880,43120,48800,13100,1560,3540,26120,7820,15140,16100,27640,32980,22920,51068,51092,85824,50188,51068,33380,116060,462980,507540,37140,23383700,27060060,41830020,49329540,20727340,19640,16980,17960,36400,31860,1740,24240,15480,28820,3320,11900,14900,9700,26060,3480,
20.000000, 1624.000000, 1624.000000, 3837.000000, 0.424929, 0.001455,62340,79840,366280,469400,238100,11120,12980,31640,26740,52460,11340,1500,4420,25040,5360,13460,20340,21700,27060,29560,52544,52568,86828,50748,52544,29480,192980,605760,485040,33780,23946500,27309100,44301360,53142240,21537580,21060,20920,19800,29140,46660,2340,13160,15600,29340,3540,13640,12600,14760,28060,3460,
21.000000, 1723.000000, 1723.000000, 4117.000000, 0.517803, 0.001387,64640,70480,399300,527560,222180,7620,9920,26860,22080,43420,7720,1900,4760,23460,2580,9680,13840,19560,25300,19960,56300,56324,92304,54593,56300,24760,110520,585820,593940,30120,20845200,26670000,38735880,49479880,28837820,18800,19840,30060,25840,31380,3080,15020,18880,30020,8500,9040,8560,12500,25420,6520,
22.000000, 5300.000000, 5300.000000, 13571.000000, 0.526558, 0.000483,224380,262320,1180820,1487780,676020,24580,28640,87980,62860,126820,25360,6400,20040,64320,11540,38320,44520,75460,73880,69860,184056,184080,287508,170152,184056,84580,306740,2214020,2290880,103760,242014819,300364780,435253720,532282540,323952820,29320,45280,61360,85240,102040,9900,36280,57100,106660,12440,39400,28960,69420,68340,10520,
