ID,rows,cols,nonzeros,sparsity,redundancy,size,constructor_time,scalar_time,spmv_time,spmm_time,sum_time
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 1073883, 39543, 111405, 1477136940, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 1089782, 33372, 107528, 1452341153, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 995189, 29424, 100515, 1470424375, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 997884, 29434, 120201, 1467818665, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 1082779, 29515, 101827, 1477606202, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 1066159, 38050, 99443, 1481876008, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 1160313, 29414, 89464, 1481650073, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 1199153, 35245, 102318, 1488609793, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 1087879, 34844, 89945, 1529851691, 94498330665404
0, 10000, 100, 50000.000000, 0.050000, 1.000000, 600404.000000, 1021797, 29434, 89394, 1459301504, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1105171, 35095, 90727, 1545235532, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1003684, 29935, 94644, 1552261443, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1016909, 35836, 109792, 1545255559, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1098579, 38080, 93341, 1561818256, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1054178, 29674, 87211, 1551015043, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 993566, 29474, 101857, 1575438555, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1006640, 29524, 103350, 1570948023, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1111292, 29515, 87722, 1538225651, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1142009, 43029, 86138, 1575377773, 94498330665404
1, 10000, 100, 50000.000000, 0.050000, 0.116950, 600404.000000, 1102696, 29504, 98461, 1541622512, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1037807, 29955, 87310, 1551604867, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1149612, 38351, 88142, 1555502680, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1100182, 29524, 96357, 1560051889, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1132602, 29474, 103019, 1552750663, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1156966, 29715, 93572, 1558239348, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1081677, 29514, 86749, 1554874976, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1016458, 29654, 87070, 1525327097, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1075827, 29484, 85256, 1534778245, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1104549, 29634, 96096, 1531109833, 94498330665404
2, 10000, 100, 50000.000000, 0.050000, 0.090127, 600404.000000, 1067983, 29574, 86559, 1513698077, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 1027138, 29724, 88413, 1519543850, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 1009626, 35234, 88082, 1490254475, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 987866, 29484, 96998, 1557130311, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 1036605, 31468, 110433, 1509785216, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 1132361, 38230, 86870, 1476347558, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 1078011, 37539, 104602, 1554061070, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 1130488, 32610, 93772, 1557537670, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 1053947, 29574, 98912, 1578928659, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 1028340, 29624, 114220, 1553420202, 94498330665404
3, 10000, 100, 50000.000000, 0.050000, 0.028717, 600404.000000, 987385, 29444, 111615, 1555344429, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1017930, 42137, 100044, 1502923667, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1059297, 29594, 99973, 1469848825, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1102626, 32951, 86690, 1569807267, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1145565, 46185, 96477, 1561383758, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1109278, 42668, 92360, 1531775837, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1106313, 29585, 86289, 1493494509, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1118876, 29484, 105804, 1458815832, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1112544, 29454, 103540, 1460185828, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1033830, 29505, 104763, 1512970650, 94498330665404
4, 10000, 100, 50000.000000, 0.050000, 0.020368, 600404.000000, 1081087, 29644, 86980, 1517745894, 94498330665404
