ID,rows,cols,nonzeros,sparsity,redundancy,size,constructor_time,scalar_time,spmv_time,spmm_time,sum_time
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 785150, 391, 94706, 3466857, 330
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 817631, 301, 107730, 3459424, 250
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 801431, 330, 135502, 3330665, 250
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 796331, 241, 95338, 3582964, 251
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 1009868, 250, 94666, 3434648, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 821668, 241, 94385, 4102770, 241
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 783397, 241, 94566, 3306239, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 791472, 240, 93974, 3478229, 241
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 793375, 241, 126695, 3309525, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 792123, 240, 95247, 3646626, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 789689, 241, 93925, 4242871, 250
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 796421, 241, 93895, 4241679, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 843479, 250, 94315, 4146982, 251
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 873094, 241, 94406, 3931347, 250
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 819855, 250, 94526, 3328661, 241
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 794338, 241, 94416, 3379074, 250
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 784299, 240, 94606, 3433686, 241
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 799276, 240, 94435, 3314535, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 802603, 250, 107850, 3739685, 241
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 794268, 240, 94305, 3367072, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 788907, 241, 94436, 3311148, 250
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 898912, 240, 93414, 3354398, 241
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 779018, 241, 94546, 3372592, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 917186, 241, 93454, 4744284, 251
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 795370, 240, 93955, 4756647, 240
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 795239, 241, 93374, 4717544, 251
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 806310, 240, 94505, 4018433, 241
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 779229, 241, 93424, 3427244, 250
0, 100, 100, 1000.000000, 0.100000, 1.000000, 7236.000000, 797613, 250, 106969, 3391458, 251
