Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo COnstructor Time,Avg Eigen InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Min Eigen Constructor Time,Min CSF2 Constructor Time,Min CSF3 Constructor Time,Min Armadillo Constructor Time,Min Eigen InnerIterator Time,Min CSF2 InnerIterator Time,Min CSF3 InnerIterator Time,Min Armadillo InnerIterator Time,Min Eigen Scalar Multiplication Time,Min CSF2 Scalar Multiplication Time,Min CSF3 Scalar Multiplication Time,Min Armadillo Scalar Multiplication Time,Min Eigen Vector Multiplication Time,Min CSF2 Vector Multiplication Time,Min CSF3 Vector Multiplication Time,Min Armadillo Vector Multiplication Time,Min Eigen Memory Usage,Min CSF2 Memory Usage,Min CSF3 Memory Usage,Min Armadillo Memory Usage,Min Eigen Transpose Time,Min CSF2 Transpose Time,Min CSF3 Transpose Time,Min Armadillo Transpose Time,Min Eigen Matrix Multiplication Time,Min CSF2 Matrix Multiplication Time,Min CSF3 Matrix Multiplication Time,Min Armadillo Matrix Multiplication Time,Q1 Eigen Constructor Time,Q1 CSF2 Constructor Time,Q1 CSF3 Constructor Time,Q1 Armadillo Constructor Time,Q1 Eigen InnerIterator Time,Q1 CSF2 InnerIterator Time,Q1 CSF3 InnerIterator Time,Q1 Armadillo InnerIterator Time,Q1 Eigen Scalar Multiplication Time,Q1 CSF2 Scalar Multiplication Time,Q1 CSF3 Scalar Multiplication Time,Q1 Armadillo Scalar Multiplication Time,Q1 Eigen Vector Multiplication Time,Q1 CSF2 Vector Multiplication Time,Q1 CSF3 Vector Multiplication Time,Q1 Armadillo Vector Multiplication Time,Q1 Eigen Memory Usage,Q1 CSF2 Memory Usage,Q1 CSF3 Memory Usage,Q1 Armadillo Memory Usage,Q1 Eigen Transpose Time,Q1 CSF2 Transpose Time,Q1 CSF3 Transpose Time,Q1 Armadillo Transpose Time,Q1 Eigen Matrix Multiplication Time,Q1 CSF2 Matrix Multiplication Time,Q1 CSF3 Matrix Multiplication Time,Q1 Armadillo Matrix Multiplication Time,Median Eigen Constructor Time,Median CSF2 Constructor Time,Median CSF3 Constructor Time,Median Armadillo Constructor Time,Median Eigen InnerIterator Time,Median CSF2 InnerIterator Time,Median CSF3 InnerIterator Time,Median Armadillo InnerIterator Time,Median Eigen Scalar Multiplication Time,Median CSF2 Scalar Multiplication Time,Median CSF3 Scalar Multiplication Time,Median Armadillo Scalar Multiplication Time,Median Eigen Vector Multiplication Time,Median CSF2 Vector Multiplication Time,Median CSF3 Vector Multiplication Time,Median Armadillo Vector Multiplication Time,Median Eigen Memory Usage,Median CSF2 Memory Usage,Median CSF3 Memory Usage,Median Armadillo Memory Usage,Median Eigen Transpose Time,Median CSF2 Transpose Time,Median CSF3 Transpose Time,Median Armadillo Transpose Time,Median Eigen Matrix Multiplication Time,Median CSF2 Matrix Multiplication Time,Median CSF3 Matrix Multiplication Time,Median Armadillo Matrix Multiplication Time,Q3 Eigen Constructor Time,Q3 CSF2 Constructor Time,Q3 CSF3 Constructor Time,Q3 Armadillo Constructor Time,Q3 Eigen InnerIterator Time,Q3 CSF2 InnerIterator Time,Q3 CSF3 InnerIterator Time,Q3 Armadillo InnerIterator Time,Q3 Eigen Scalar Multiplication,Q3 CSF2 Scalar Multiplication Time,Q3 CSF3 Scalar Multiplication Time,Q3 Armadillo Scalar Multiplication Time,Q3 Eigen Vector Multiplication Time,Q3 CSF2 Vector Multiplication Time,Q3 CSF3 Vector Multiplication Time,Q3 Armadillo Vector Multiplication Time,Q3 Eigen Memory Usage,Q3 CSF2 Memory Usage,Q3 CSF3 Memory Usage,Q3 Armadillo Memory Usage,Q3 Eigen Transpose Time,Q3 CSF2 Transpose Time,Q3 CSF3 Transpose Time,Q3 Armadillo Transpose Time,Q3 Eigen Matrix Multiplication Time,Q3 CSF2 Matrix Multiplication Time,Q3 CSF3 Matrix Multiplication Time,Q3 Armadillo Matrix Multiplication Time,Max Eigen Constructor Time,Max CSF2 Constructor Time,Max CSF3 Constructor Time,Max Armadillo Constructor Time,Max Eigen InnerIterator Time,Max CSF2 InnerIterator Time,Max CSF3 InnerIterator Time,Max Armadillo InnerIterator Time,Max Eigen Scalar Multiplication Time,Max CSF2 Scalar Multiplication Time,Max CSF3 Scalar Multiplication Time,Max Armadillo Scalar Multiplication Time,Max Eigen Vector Multiplication Time,Max CSF2 Vector Multiplication Time,Max CSF3 Vector Multiplication Time,Max Armadillo Vector Multiplication Time,Max Eigen Memory Usage,Max CSF2 Memory Usage,Max CSF3 Memory Usage,Max Armadillo Memory Usage,Max Eigen Transpose Time,Max CSF2 Transpose Time,Max CSF3 Transpose Time,Max Armadillo Transpose Time,Max Eigen Matrix Multiplication Time,Max CSF2 Matrix Multiplication Time,Max CSF3 Matrix Multiplication Time,Max Armadillo Matrix Multiplication Time
146.000000, 541.000000, 541.000000, 4285.000000, 0.000007, 0.014641,20228,297919,452469,140012,20,13645,16140,13365,20,30357,33663,20,2665,16340,19377,6091,53588,81499,60339,53552,12043,306044,407905,19516,4251394,8975985,9051667,3894946,20228,297919,452469,140012,20,13645,16140,13365,20,30357,33663,20,2665,16340,19377,6091,53588,81499,60339,53552,12043,306044,407905,19516,4251394,8975985,9051667,3894946,20228,297919,452469,140012,20,13645,16140,13365,20,30357,33663,20,2665,16340,19377,6091,53588,81499,60339,53552,12043,306044,407905,19516,4251394,8975985,9051667,3894946,20228,297919,452469,140012,20,13645,16140,13365,20,30357,33663,20,2665,16340,19377,6091,53588,81499,60339,53552,12043,306044,407905,19516,4251394,8975985,9051667,3894946,20228,297919,452469,140012,20,13645,16140,13365,20,30357,33663,20,2665,16340,19377,6091,53588,81499,60339,53552,12043,306044,407905,19516,4251394,8975985,9051667,3894946,20228,297919,452469,140012,20,13645,16140,13365,20,30357,33663,20,2665,16340,19377,6091,53588,81499,60339,53552,12043,306044,407905,19516,4251394,8975985,9051667,3894946,
147.000000, 541.000000, 541.000000, 4285.000000, 0.000007, 0.014641,20509,291207,449543,138359,20,13715,15950,13445,20,29796,32932,20,2635,16471,19256,6292,53588,81499,60339,53552,12162,306555,406001,20228,4215487,9084109,9060845,3915775,20509,291207,449543,138359,20,13715,15950,13445,20,29796,32932,20,2635,16471,19256,6292,53588,81499,60339,53552,12162,306555,406001,20228,4215487,9084109,9060845,3915775,20509,291207,449543,138359,20,13715,15950,13445,20,29796,32932,20,2635,16471,19256,6292,53588,81499,60339,53552,12162,306555,406001,20228,4215487,9084109,9060845,3915775,20509,291207,449543,138359,20,13715,15950,13445,20,29796,32932,20,2635,16471,19256,6292,53588,81499,60339,53552,12162,306555,406001,20228,4215487,9084109,9060845,3915775,20509,291207,449543,138359,20,13715,15950,13445,20,29796,32932,20,2635,16471,19256,6292,53588,81499,60339,53552,12162,306555,406001,20228,4215487,9084109,9060845,3915775,20509,291207,449543,138359,20,13715,15950,13445,20,29796,32932,20,2635,16471,19256,6292,53588,81499,60339,53552,12162,306555,406001,20228,4215487,9084109,9060845,3915775,
148.000000, 541.000000, 541.000000, 4285.000000, 0.000387, 0.014641,20518,309902,454021,140083,20,13746,15630,13375,20,30397,33533,20,2715,17683,19677,6402,53588,81447,60295,53444,12193,304030,409218,20699,4508256,9195227,9104807,3883013,20518,309902,454021,140083,20,13746,15630,13375,20,30397,33533,20,2715,17683,19677,6402,53588,81447,60295,53444,12193,304030,409218,20699,4508256,9195227,9104807,3883013,20518,309902,454021,140083,20,13746,15630,13375,20,30397,33533,20,2715,17683,19677,6402,53588,81447,60295,53444,12193,304030,409218,20699,4508256,9195227,9104807,3883013,20518,309902,454021,140083,20,13746,15630,13375,20,30397,33533,20,2715,17683,19677,6402,53588,81447,60295,53444,12193,304030,409218,20699,4508256,9195227,9104807,3883013,20518,309902,454021,140083,20,13746,15630,13375,20,30397,33533,20,2715,17683,19677,6402,53588,81447,60295,53444,12193,304030,409218,20699,4508256,9195227,9104807,3883013,20518,309902,454021,140083,20,13746,15630,13375,20,30397,33533,20,2715,17683,19677,6402,53588,81447,60295,53444,12193,304030,409218,20699,4508256,9195227,9104807,3883013,
149.000000, 680.000000, 680.000000, 2646.000000, 0.054373, 0.005722,13004,155491,211246,84779,20,8977,9728,9367,20,27872,28453,20,1884,11923,13165,3957,34476,50998,38429,28932,12313,187341,233719,11392,131857,7339396,8193147,115046,13004,155491,211246,84779,20,8977,9728,9367,20,27872,28453,20,1884,11923,13165,3957,34476,50998,38429,28932,12313,187341,233719,11392,131857,7339396,8193147,115046,13004,155491,211246,84779,20,8977,9728,9367,20,27872,28453,20,1884,11923,13165,3957,34476,50998,38429,28932,12313,187341,233719,11392,131857,7339396,8193147,115046,13004,155491,211246,84779,20,8977,9728,9367,20,27872,28453,20,1884,11923,13165,3957,34476,50998,38429,28932,12313,187341,233719,11392,131857,7339396,8193147,115046,13004,155491,211246,84779,20,8977,9728,9367,20,27872,28453,20,1884,11923,13165,3957,34476,50998,38429,28932,12313,187341,233719,11392,131857,7339396,8193147,115046,13004,155491,211246,84779,20,8977,9728,9367,20,27872,28453,20,1884,11923,13165,3957,34476,50998,38429,28932,12313,187341,233719,11392,131857,7339396,8193147,115046,
150.000000, 680.000000, 680.000000, 2646.000000, 0.021674, 0.005722,12774,159910,224250,85691,20,8887,9758,9578,20,27371,29446,20,1894,10960,12714,4168,34476,54079,40956,31812,12674,192211,242465,10890,132649,7567754,8247960,116548,12774,159910,224250,85691,20,8887,9758,9578,20,27371,29446,20,1894,10960,12714,4168,34476,54079,40956,31812,12674,192211,242465,10890,132649,7567754,8247960,116548,12774,159910,224250,85691,20,8887,9758,9578,20,27371,29446,20,1894,10960,12714,4168,34476,54079,40956,31812,12674,192211,242465,10890,132649,7567754,8247960,116548,12774,159910,224250,85691,20,8887,9758,9578,20,27371,29446,20,1894,10960,12714,4168,34476,54079,40956,31812,12674,192211,242465,10890,132649,7567754,8247960,116548,12774,159910,224250,85691,20,8887,9758,9578,20,27371,29446,20,1894,10960,12714,4168,34476,54079,40956,31812,12674,192211,242465,10890,132649,7567754,8247960,116548,12774,159910,224250,85691,20,8887,9758,9578,20,27371,29446,20,1894,10960,12714,4168,34476,54079,40956,31812,12674,192211,242465,10890,132649,7567754,8247960,116548,
151.000000, 680.000000, 680.000000, 2646.000000, 0.016072, 0.005722,12764,155521,215705,83827,20,8405,9117,9367,20,26781,28654,20,1853,10439,11632,3777,34476,54612,41322,32376,12664,186550,234641,10510,128631,7416872,8065538,113643,12764,155521,215705,83827,20,8405,9117,9367,20,26781,28654,20,1853,10439,11632,3777,34476,54612,41322,32376,12664,186550,234641,10510,128631,7416872,8065538,113643,12764,155521,215705,83827,20,8405,9117,9367,20,26781,28654,20,1853,10439,11632,3777,34476,54612,41322,32376,12664,186550,234641,10510,128631,7416872,8065538,113643,12764,155521,215705,83827,20,8405,9117,9367,20,26781,28654,20,1853,10439,11632,3777,34476,54612,41322,32376,12664,186550,234641,10510,128631,7416872,8065538,113643,12764,155521,215705,83827,20,8405,9117,9367,20,26781,28654,20,1853,10439,11632,3777,34476,54612,41322,32376,12664,186550,234641,10510,128631,7416872,8065538,113643,12764,155521,215705,83827,20,8405,9117,9367,20,26781,28654,20,1853,10439,11632,3777,34476,54612,41322,32376,12664,186550,234641,10510,128631,7416872,8065538,113643,
152.000000, 760.000000, 760.000000, 5976.000000, 0.033992, 0.010346,28023,378890,531066,191059,20,19366,22332,18364,20,42640,47218,20,4208,23644,27942,8626,74756,111761,83360,71912,17323,445175,608311,19086,263735,17506917,18337394,346350,28023,378890,531066,191059,20,19366,22332,18364,20,42640,47218,20,4208,23644,27942,8626,74756,111761,83360,71912,17323,445175,608311,19086,263735,17506917,18337394,346350,28023,378890,531066,191059,20,19366,22332,18364,20,42640,47218,20,4208,23644,27942,8626,74756,111761,83360,71912,17323,445175,608311,19086,263735,17506917,18337394,346350,28023,378890,531066,191059,20,19366,22332,18364,20,42640,47218,20,4208,23644,27942,8626,74756,111761,83360,71912,17323,445175,608311,19086,263735,17506917,18337394,346350,28023,378890,531066,191059,20,19366,22332,18364,20,42640,47218,20,4208,23644,27942,8626,74756,111761,83360,71912,17323,445175,608311,19086,263735,17506917,18337394,346350,28023,378890,531066,191059,20,19366,22332,18364,20,42640,47218,20,4208,23644,27942,8626,74756,111761,83360,71912,17323,445175,608311,19086,263735,17506917,18337394,346350,
153.000000, 760.000000, 760.000000, 5976.000000, 0.033992, 0.010346,29445,391364,541255,195476,20,19767,22883,19075,20,42690,46597,20,6091,23835,27452,9017,74756,111761,83360,71912,17473,464100,621566,20539,278362,17951159,19359551,349185,29445,391364,541255,195476,20,19767,22883,19075,20,42690,46597,20,6091,23835,27452,9017,74756,111761,83360,71912,17473,464100,621566,20539,278362,17951159,19359551,349185,29445,391364,541255,195476,20,19767,22883,19075,20,42690,46597,20,6091,23835,27452,9017,74756,111761,83360,71912,17473,464100,621566,20539,278362,17951159,19359551,349185,29445,391364,541255,195476,20,19767,22883,19075,20,42690,46597,20,6091,23835,27452,9017,74756,111761,83360,71912,17473,464100,621566,20539,278362,17951159,19359551,349185,29445,391364,541255,195476,20,19767,22883,19075,20,42690,46597,20,6091,23835,27452,9017,74756,111761,83360,71912,17473,464100,621566,20539,278362,17951159,19359551,349185,29445,391364,541255,195476,20,19767,22883,19075,20,42690,46597,20,6091,23835,27452,9017,74756,111761,83360,71912,17473,464100,621566,20539,278362,17951159,19359551,349185,
154.000000, 760.000000, 760.000000, 5976.000000, 0.049062, 0.010346,29365,381065,527069,196578,20,19727,22272,18765,20,43361,46878,20,4077,23594,26730,8787,74756,111241,82949,72836,17533,453170,615785,20398,279525,17791421,18379814,352432,29365,381065,527069,196578,20,19727,22272,18765,20,43361,46878,20,4077,23594,26730,8787,74756,111241,82949,72836,17533,453170,615785,20398,279525,17791421,18379814,352432,29365,381065,527069,196578,20,19727,22272,18765,20,43361,46878,20,4077,23594,26730,8787,74756,111241,82949,72836,17533,453170,615785,20398,279525,17791421,18379814,352432,29365,381065,527069,196578,20,19727,22272,18765,20,43361,46878,20,4077,23594,26730,8787,74756,111241,82949,72836,17533,453170,615785,20398,279525,17791421,18379814,352432,29365,381065,527069,196578,20,19727,22272,18765,20,43361,46878,20,4077,23594,26730,8787,74756,111241,82949,72836,17533,453170,615785,20398,279525,17791421,18379814,352432,29365,381065,527069,196578,20,19727,22272,18765,20,43361,46878,20,4077,23594,26730,8787,74756,111241,82949,72836,17533,453170,615785,20398,279525,17791421,18379814,352432,
155.000000, 4929.000000, 10595.000000, 47369.000000, 0.001263, 0.000907,233347,2183335,3806890,1444860,20,163697,166883,183564,10,457549,451237,20,46317,203451,193984,85670,610812,973361,779213,601476,108995,4128514,4459735,148539,1711731,1083129855,1089947152,2443964,233347,2183335,3806890,1444860,20,163697,166883,183564,10,457549,451237,20,46317,203451,193984,85670,610812,973361,779213,601476,108995,4128514,4459735,148539,1711731,1083129855,1089947152,2443964,233347,2183335,3806890,1444860,20,163697,166883,183564,10,457549,451237,20,46317,203451,193984,85670,610812,973361,779213,601476,108995,4128514,4459735,148539,1711731,1083129855,1089947152,2443964,233347,2183335,3806890,1444860,20,163697,166883,183564,10,457549,451237,20,46317,203451,193984,85670,610812,973361,779213,601476,108995,4128514,4459735,148539,1711731,1083129855,1089947152,2443964,233347,2183335,3806890,1444860,20,163697,166883,183564,10,457549,451237,20,46317,203451,193984,85670,610812,973361,779213,601476,108995,4128514,4459735,148539,1711731,1083129855,1089947152,2443964,233347,2183335,3806890,1444860,20,163697,166883,183564,10,457549,451237,20,46317,203451,193984,85670,610812,973361,779213,601476,108995,4128514,4459735,148539,1711731,1083129855,1089947152,2443964,
156.000000, 4929.000000, 4929.000000, 33185.000000, 0.002663, 0.001366,167253,1649925,2870614,1025464,10,123722,124433,121889,20,279544,277891,20,31970,151514,144851,70342,417940,641590,505550,417016,129693,3564115,3318374,143920,1388364,777440000,759775498,1685161,167253,1649925,2870614,1025464,10,123722,124433,121889,20,279544,277891,20,31970,151514,144851,70342,417940,641590,505550,417016,129693,3564115,3318374,143920,1388364,777440000,759775498,1685161,167253,1649925,2870614,1025464,10,123722,124433,121889,20,279544,277891,20,31970,151514,144851,70342,417940,641590,505550,417016,129693,3564115,3318374,143920,1388364,777440000,759775498,1685161,167253,1649925,2870614,1025464,10,123722,124433,121889,20,279544,277891,20,31970,151514,144851,70342,417940,641590,505550,417016,129693,3564115,3318374,143920,1388364,777440000,759775498,1685161,167253,1649925,2870614,1025464,10,123722,124433,121889,20,279544,277891,20,31970,151514,144851,70342,417940,641590,505550,417016,129693,3564115,3318374,143920,1388364,777440000,759775498,1685161,167253,1649925,2870614,1025464,10,123722,124433,121889,20,279544,277891,20,31970,151514,144851,70342,417940,641590,505550,417016,129693,3564115,3318374,143920,1388364,777440000,759775498,1685161,
157.000000, 4929.000000, 4929.000000, 33111.000000, 0.002431, 0.001363,175259,1721389,2956565,1043177,20,129733,129272,126748,20,290686,292779,20,33603,149440,152736,71224,417052,640410,504652,416248,137117,3665305,3480969,149130,1581196,804724235,801081963,1773076,175259,1721389,2956565,1043177,20,129733,129272,126748,20,290686,292779,20,33603,149440,152736,71224,417052,640410,504652,416248,137117,3665305,3480969,149130,1581196,804724235,801081963,1773076,175259,1721389,2956565,1043177,20,129733,129272,126748,20,290686,292779,20,33603,149440,152736,71224,417052,640410,504652,416248,137117,3665305,3480969,149130,1581196,804724235,801081963,1773076,175259,1721389,2956565,1043177,20,129733,129272,126748,20,290686,292779,20,33603,149440,152736,71224,417052,640410,504652,416248,137117,3665305,3480969,149130,1581196,804724235,801081963,1773076,175259,1721389,2956565,1043177,20,129733,129272,126748,20,290686,292779,20,33603,149440,152736,71224,417052,640410,504652,416248,137117,3665305,3480969,149130,1581196,804724235,801081963,1773076,175259,1721389,2956565,1043177,20,129733,129272,126748,20,290686,292779,20,33603,149440,152736,71224,417052,640410,504652,416248,137117,3665305,3480969,149130,1581196,804724235,801081963,1773076,
158.000000, 113.000000, 113.000000, 655.000000, 0.663727, 0.051296,4809,14558,21209,22312,10,2465,2395,3827,20,3927,3817,20,1082,3427,2475,10280,8316,5921,3617,8316,4779,36388,38052,8987,45045,235331,214412,76284,4809,14558,21209,22312,10,2465,2395,3827,20,3927,3817,20,1082,3427,2475,10280,8316,5921,3617,8316,4779,36388,38052,8987,45045,235331,214412,76284,4809,14558,21209,22312,10,2465,2395,3827,20,3927,3817,20,1082,3427,2475,10280,8316,5921,3617,8316,4779,36388,38052,8987,45045,235331,214412,76284,4809,14558,21209,22312,10,2465,2395,3827,20,3927,3817,20,1082,3427,2475,10280,8316,5921,3617,8316,4779,36388,38052,8987,45045,235331,214412,76284,4809,14558,21209,22312,10,2465,2395,3827,20,3927,3817,20,1082,3427,2475,10280,8316,5921,3617,8316,4779,36388,38052,8987,45045,235331,214412,76284,4809,14558,21209,22312,10,2465,2395,3827,20,3927,3817,20,1082,3427,2475,10280,8316,5921,3617,8316,4779,36388,38052,8987,45045,235331,214412,76284,
159.000000, 900.000000, 900.000000, 4322.000000, 0.568185, 0.005336,22452,135174,176882,136176,20,9077,9297,14857,20,31970,32681,20,2926,13696,13916,6141,55468,55099,41098,55468,17462,189705,226125,18305,98124,13462831,14326190,120245,22452,135174,176882,136176,20,9077,9297,14857,20,31970,32681,20,2926,13696,13916,6141,55468,55099,41098,55468,17462,189705,226125,18305,98124,13462831,14326190,120245,22452,135174,176882,136176,20,9077,9297,14857,20,31970,32681,20,2926,13696,13916,6141,55468,55099,41098,55468,17462,189705,226125,18305,98124,13462831,14326190,120245,22452,135174,176882,136176,20,9077,9297,14857,20,31970,32681,20,2926,13696,13916,6141,55468,55099,41098,55468,17462,189705,226125,18305,98124,13462831,14326190,120245,22452,135174,176882,136176,20,9077,9297,14857,20,31970,32681,20,2926,13696,13916,6141,55468,55099,41098,55468,17462,189705,226125,18305,98124,13462831,14326190,120245,22452,135174,176882,136176,20,9077,9297,14857,20,31970,32681,20,2926,13696,13916,6141,55468,55099,41098,55468,17462,189705,226125,18305,98124,13462831,14326190,120245,
160.000000, 1107.000000, 1107.000000, 5664.000000, 0.187218, 0.004622,28363,295103,382818,180759,20,15960,17493,20108,20,45906,49452,20,4418,21210,23004,8907,72400,100556,77578,72400,25217,394760,515097,20639,198643,24319354,26674391,247053,28363,295103,382818,180759,20,15960,17493,20108,20,45906,49452,20,4418,21210,23004,8907,72400,100556,77578,72400,25217,394760,515097,20639,198643,24319354,26674391,247053,28363,295103,382818,180759,20,15960,17493,20108,20,45906,49452,20,4418,21210,23004,8907,72400,100556,77578,72400,25217,394760,515097,20639,198643,24319354,26674391,247053,28363,295103,382818,180759,20,15960,17493,20108,20,45906,49452,20,4418,21210,23004,8907,72400,100556,77578,72400,25217,394760,515097,20639,198643,24319354,26674391,247053,28363,295103,382818,180759,20,15960,17493,20108,20,45906,49452,20,4418,21210,23004,8907,72400,100556,77578,72400,25217,394760,515097,20639,198643,24319354,26674391,247053,28363,295103,382818,180759,20,15960,17493,20108,20,45906,49452,20,4418,21210,23004,8907,72400,100556,77578,72400,25217,394760,515097,20639,198643,24319354,26674391,247053,
161.000000, 115.000000, 115.000000, 421.000000, 0.055155, 0.031834,4389,30197,54863,26470,30,3026,2985,3446,30,6502,6693,30,1282,3977,3847,15810,5516,8631,6195,5516,6442,53039,61816,14427,26349,315401,313418,35957,4389,30197,54863,26470,30,3026,2985,3446,30,6502,6693,30,1282,3977,3847,15810,5516,8631,6195,5516,6442,53039,61816,14427,26349,315401,313418,35957,4389,30197,54863,26470,30,3026,2985,3446,30,6502,6693,30,1282,3977,3847,15810,5516,8631,6195,5516,6442,53039,61816,14427,26349,315401,313418,35957,4389,30197,54863,26470,30,3026,2985,3446,30,6502,6693,30,1282,3977,3847,15810,5516,8631,6195,5516,6442,53039,61816,14427,26349,315401,313418,35957,4389,30197,54863,26470,30,3026,2985,3446,30,6502,6693,30,1282,3977,3847,15810,5516,8631,6195,5516,6442,53039,61816,14427,26349,315401,313418,35957,4389,30197,54863,26470,30,3026,2985,3446,30,6502,6693,30,1282,3977,3847,15810,5516,8631,6195,5516,6442,53039,61816,14427,26349,315401,313418,35957,
162.000000, 185.000000, 185.000000, 1005.000000, 0.241467, 0.029364,5510,47289,66435,31910,10,3056,3076,3596,20,8596,8486,20,1082,4127,4058,5380,12804,16754,11489,12444,5129,61706,75461,4308,36548,632817,644338,49143,5510,47289,66435,31910,10,3056,3076,3596,20,8596,8486,20,1082,4127,4058,5380,12804,16754,11489,12444,5129,61706,75461,4308,36548,632817,644338,49143,5510,47289,66435,31910,10,3056,3076,3596,20,8596,8486,20,1082,4127,4058,5380,12804,16754,11489,12444,5129,61706,75461,4308,36548,632817,644338,49143,5510,47289,66435,31910,10,3056,3076,3596,20,8596,8486,20,1082,4127,4058,5380,12804,16754,11489,12444,5129,61706,75461,4308,36548,632817,644338,49143,5510,47289,66435,31910,10,3056,3076,3596,20,8596,8486,20,1082,4127,4058,5380,12804,16754,11489,12444,5129,61706,75461,4308,36548,632817,644338,49143,5510,47289,66435,31910,10,3056,3076,3596,20,8596,8486,20,1082,4127,4058,5380,12804,16754,11489,12444,5129,61706,75461,4308,36548,632817,644338,49143,
163.000000, 216.000000, 216.000000, 876.000000, 0.606790, 0.018776,5070,30667,36568,29094,20,2775,2695,3386,10,9368,9959,20,1122,3887,3957,1904,11380,11248,7636,10612,5700,46387,73047,4519,32290,705073,706866,32571,5070,30667,36568,29094,20,2775,2695,3386,10,9368,9959,20,1122,3887,3957,1904,11380,11248,7636,10612,5700,46387,73047,4519,32290,705073,706866,32571,5070,30667,36568,29094,20,2775,2695,3386,10,9368,9959,20,1122,3887,3957,1904,11380,11248,7636,10612,5700,46387,73047,4519,32290,705073,706866,32571,5070,30667,36568,29094,20,2775,2695,3386,10,9368,9959,20,1122,3887,3957,1904,11380,11248,7636,10612,5700,46387,73047,4519,32290,705073,706866,32571,5070,30667,36568,29094,20,2775,2695,3386,10,9368,9959,20,1122,3887,3957,1904,11380,11248,7636,10612,5700,46387,73047,4519,32290,705073,706866,32571,5070,30667,36568,29094,20,2775,2695,3386,10,9368,9959,20,1122,3887,3957,1904,11380,11248,7636,10612,5700,46387,73047,4519,32290,705073,706866,32571,
164.000000, 216.000000, 216.000000, 876.000000, 0.385494, 0.018776,5350,40216,49543,29365,10,2865,2945,3336,20,8757,9468,20,1162,4018,3857,1834,11380,13783,9586,10612,6011,56155,61726,4569,32521,667602,672832,32461,5350,40216,49543,29365,10,2865,2945,3336,20,8757,9468,20,1162,4018,3857,1834,11380,13783,9586,10612,6011,56155,61726,4569,32521,667602,672832,32461,5350,40216,49543,29365,10,2865,2945,3336,20,8757,9468,20,1162,4018,3857,1834,11380,13783,9586,10612,6011,56155,61726,4569,32521,667602,672832,32461,5350,40216,49543,29365,10,2865,2945,3336,20,8757,9468,20,1162,4018,3857,1834,11380,13783,9586,10612,6011,56155,61726,4569,32521,667602,672832,32461,5350,40216,49543,29365,10,2865,2945,3336,20,8757,9468,20,1162,4018,3857,1834,11380,13783,9586,10612,6011,56155,61726,4569,32521,667602,672832,32461,5350,40216,49543,29365,10,2865,2945,3336,20,8757,9468,20,1162,4018,3857,1834,11380,13783,9586,10612,6011,56155,61726,4569,32521,667602,672832,32461,
165.000000, 343.000000, 343.000000, 1435.000000, 0.620991, 0.012197,8025,49412,59381,46808,21,4168,4379,5300,20,14467,15338,20,1653,5841,6161,2515,18596,18090,12508,17096,8727,72766,86422,6652,50304,1960166,1865338,50505,8025,49412,59381,46808,21,4168,4379,5300,20,14467,15338,20,1653,5841,6161,2515,18596,18090,12508,17096,8727,72766,86422,6652,50304,1960166,1865338,50505,8025,49412,59381,46808,21,4168,4379,5300,20,14467,15338,20,1653,5841,6161,2515,18596,18090,12508,17096,8727,72766,86422,6652,50304,1960166,1865338,50505,8025,49412,59381,46808,21,4168,4379,5300,20,14467,15338,20,1653,5841,6161,2515,18596,18090,12508,17096,8727,72766,86422,6652,50304,1960166,1865338,50505,8025,49412,59381,46808,21,4168,4379,5300,20,14467,15338,20,1653,5841,6161,2515,18596,18090,12508,17096,8727,72766,86422,6652,50304,1960166,1865338,50505,8025,49412,59381,46808,21,4168,4379,5300,20,14467,15338,20,1653,5841,6161,2515,18596,18090,12508,17096,8727,72766,86422,6652,50304,1960166,1865338,50505,
